User,User Name,Tweet,Time,Following?,Follows?,Followers,Following,Location,Account Age,Website,Language,Profile Image
nartcr,FanOfJBEM,'JBEM' pick - RXII DD - Read here: groups.google.com/forum/#!catego… $BDC $BEAV $CBB.B $HP $BCR $HUM $PRGO $ALXN,Sat Sep 12 01:45:24 +0000 2015,false,false,100,194,Chicago,"6 years, 5 months",en,Profile Page,
YamasutaTrader,Yamasuta,"$ALXN - SELL Signal at 171.76 on Sep 09, 15 By YaMasuta.com, Trading Signals Robot #stock #trading #trade #investing",Sat Sep 12 02:15:00 +0000 2015,false,false,122,4,FREE REGISTRATION,http://t.co/6rv8QoprWM,en,Profile Page,
growthstockninj,Jim Lincoln,"Top-Rated Companies: ALXN, REGN, VRX",Sat Sep 12 03:24:54 +0000 2015,false,false,777,661,,http://t.co/kLFedKbTj5,en,Profile Page,
NM99791307,N.Morgan,Fed Hike – Now Or Never b4in.info/alxN,Sat Sep 12 04:00:02 +0000 2015,false,false,36811,29371,,"3 months, 1 weeks",en,Profile Page,
mediasentiment,Media Sentiment,$ALXN received a new alert. Find out why at mediasentiment.com #stocks #daytrading #trading #mkt  #NYSE #NASDAQ #markets 659,Sat Sep 12 05:24:50 +0000 2015,false,false,7124,6852,,http://t.co/TlOjBDQQtY,en,Profile Page,
_alxn_,My name,RT @fuckordell: Mood pic.twitter.com/lQONwtDJp9,Sat Sep 12 05:25:18 +0000 2015,false,false,341,243,"Arlington, TX","10 months, 3 weeks",en,Profile Page,
_alxn_,My name,Wtf dis is pic.twitter.com/5FO3fr51Jh,Sat Sep 12 05:33:53 +0000 2015,false,false,341,243,"Arlington, TX","10 months, 3 weeks",en,Profile Page,
_alxn_,My name,SAME ASFFFF  twitter.com/_maingvyennn/s…,Sat Sep 12 05:33:58 +0000 2015,false,false,341,243,"Arlington, TX","10 months, 3 weeks",en,Profile Page,
_alxn_,My name,@_maingvyennn no lmaoooo that movie look gay asf,Sat Sep 12 05:34:49 +0000 2015,false,false,341,243,"Arlington, TX","10 months, 3 weeks",en,Profile Page,
_maingvyennn,mhai,@_alxn_ A GUY WHO ACTUALLY WANTS TO WATCH IT WOWN,Sat Sep 12 05:34:50 +0000 2015,false,false,706,410,,"2 years, 5 months",en,Profile Page,
_alxn_,My name,@_maingvyennn i was jk ::,Sat Sep 12 05:35:02 +0000 2015,false,false,341,243,"Arlington, TX","10 months, 3 weeks",en,Profile Page,
_maingvyennn,mhai,@_alxn_ wow fuck you nigga,Sat Sep 12 05:35:07 +0000 2015,false,false,706,410,,"2 years, 5 months",en,Profile Page,
_alxn_,My name,Well damn i feel hurt 😪 i mean if ya need a partner to watch it with im down  twitter.com/_maingvyennn/s…,Sat Sep 12 05:35:42 +0000 2015,false,false,341,243,"Arlington, TX","10 months, 3 weeks",en,Profile Page,
_alxn_,My name,This hurts me :( twitter.com/_maingvyennn/s…,Sat Sep 12 05:35:57 +0000 2015,false,false,341,243,"Arlington, TX","10 months, 3 weeks",en,Profile Page,
