User,User Name,Tweet,Time,Following?,Follows?,Followers,Following,Location,Account Age,Website,Language,Profile Image
wjtcapital,Willard John Thomas ,#wjt Circuit breakers seen easing China stock market volatility - Sydney Morning Herald: Sydney Morning H... bit.ly/1Qu4jwC #ccm,Sat Sep 12 00:23:05 +0000 2015,false,false,215,278,,"5 years, 5 months",en,Profile Page,
bricktrackerau,Bricktracker AU,#LEGO set Pteranodon Capture (75915) will be back in stock soon. Preorder it here: bit.ly/1Exqr42 pic.twitter.com/EZF4OVzRmm,Sat Sep 12 00:25:49 +0000 2015,false,false,5,0,,"7 months, 3 weeks",en,Profile Page,
watch_centre,Watch Centre,Back in stock: G-Shock Camouflage Dial Series Watch GA-100CF-1A9 buff.ly/1OFsyXk pic.twitter.com/u4vgINds82,Sat Sep 12 00:30:25 +0000 2015,false,false,590,1217,"Melbourne, Australia",http://t.co/bbwvCb5Ff2,en,Profile Page,
Kidzbay,Kidzbay,"IN STOCK NOW - Recreate the magic of Disney's Frozen with Elsa and her Ice Skating Rink
bit.ly/1M30HjB fb.me/1ZC3jmn8F",Sat Sep 12 00:59:48 +0000 2015,false,false,12,31,South Australia,http://t.co/3ACI9bsWqD,en,Profile Page,
NikiBelle2,Niki Belle Boutique,"BACK IN STOCK
Lexi Fracture Full Length Dress $499 // in store or go to nikibelle.com.au

#lexi… instagram.com/p/7gvAw4nXm-/",Sat Sep 12 01:05:47 +0000 2015,false,false,58,21,South Australia,http://t.co/gluwgEuqPj,en,Profile Page,
CtrlPPress,CtrlP Press,"Wacky stock market causes HFT Algo to quit in disgust:
ctrlp.press/hft-algorithm-…
#humor #tlot #Au #markets #WallStreet pic.twitter.com/CVTF00VTvY",Sat Sep 12 01:20:16 +0000 2015,false,false,229,569,A cozy corner of the Interweb,http://t.co/JISxKfmTjD,en,Profile Page,
bricktrackerau,Bricktracker AU,#LEGO set Pteranodon Capture (75915) is now in stock. Order it here: bit.ly/1Exqr42 pic.twitter.com/Qjs5lBmzej,Sat Sep 12 01:25:51 +0000 2015,false,false,5,0,,"7 months, 3 weeks",en,Profile Page,
musicswopshop,Swoppy,"MSS 43532 | Yamaha PS-400: Filed under: Keyboards, Synths &amp; Controllers1980s portable Portasound  Keyboard - W... bit.ly/1OIsshz",Sat Sep 12 01:41:14 +0000 2015,false,false,516,199,"Melbourne, Australia",http://t.co/jDhH5egbYO,en,Profile Page,
musicswopshop,Swoppy,MSS 43533 | Yamaha 20D: Filed under: OrgansVintage 1960's/1970's Japanese Organ! Fan and Bellows! Sounds just ... bit.ly/1OIsshB,Sat Sep 12 01:41:15 +0000 2015,false,false,516,199,"Melbourne, Australia",http://t.co/jDhH5egbYO,en,Profile Page,
musicswopshop,Swoppy,MSS 43534 | Avora ME-10: Filed under: Solid State Combos15 Watt Made in Germany! Practice Amp with Gain and He... bit.ly/1OIsshC,Sat Sep 12 01:41:15 +0000 2015,false,false,516,199,"Melbourne, Australia",http://t.co/jDhH5egbYO,en,Profile Page,
musicswopshop,Swoppy,"MSS 43535 | Hartke A25: Filed under: Bass Amps - Combos25 Watt 1x8"" Bass Guitar Combo! Features headphones out... bit.ly/1XVb1R7",Sat Sep 12 01:41:15 +0000 2015,false,false,516,199,"Melbourne, Australia",http://t.co/jDhH5egbYO,en,Profile Page,
musicswopshop,Swoppy,MSS 43536 | Mapex Black Panther Snare: Filed under: SnaresBRAND NEW!  In three boxes and a bag that we opened!... bit.ly/1OIsrdA,Sat Sep 12 01:41:15 +0000 2015,false,false,516,199,"Melbourne, Australia",http://t.co/jDhH5egbYO,en,Profile Page,
leahanneta,leahanne,"TDEY iShares Barclays 20+ Year Treasury Bond Fund Day Low
dlvr.it/C7HZ7F

$TDEY $AUY $AU $DLTR #TDEY #invest #stock",Sat Sep 12 01:46:04 +0000 2015,false,false,551,497,,"1 years, 10 months",en,Profile Page,
