User,User Name,Tweet,Time,Following?,Follows?,Followers,Following,Location,Account Age,Website,Language,Profile Image
firsttomarkets,FirstToMarkets,Bristol-Myers Squibb Reiterated Rating by Cowen &amp; Co (Ranked 48th) to Buy $BMY #BMY firsttomarkets.com/analytics/stoc…,Fri Sep 11 23:30:30 +0000 2015,false,false,137,39,,http://t.co/pvYJ4srUXZ,en,Profile Page,
AmConsumerNews,Consumer News,Bristol-Myers Squibb Rating Reiterated by Cowen and Company $BMY ift.tt/1XUR6Sh #acn,Fri Sep 11 23:40:19 +0000 2015,false,false,984,1413,"Sioux Falls, SD",http://t.co/odTc3pvcAe,en,Profile Page,
TickerReport,Ticker Report,Bristol-Myers Squibb’s “Buy” Rating Reiterated at Cowen and Company $BMY ift.tt/1FCNHfM,Fri Sep 11 23:41:58 +0000 2015,false,false,717,11,Virginia,"1 years, 10 months",en,Profile Page,
firsttomarkets,FirstToMarkets,Bristol-Myers Squibb Reiterated Rating by Cowen &amp; Co (Ranked 48th) to Buy $BMY #BMY firsttomarkets.com/analytics/stoc…,Fri Sep 11 23:45:23 +0000 2015,false,false,137,39,,http://t.co/pvYJ4srUXZ,en,Profile Page,
SleekMoneycom,Sleek Money,Bristol-Myers Squibb Receives “Buy” Rating from Cowen and Company $BMY ift.tt/1FCOvBj,Fri Sep 11 23:50:48 +0000 2015,false,false,593,0,,"1 years, 3 weeks",en,Profile Page,
AmericanBanking,US Banking News,Bristol-Myers Squibb’s “Buy” Rating Reiterated at Cowen and Company $BMY ift.tt/1FCNHfM,Fri Sep 11 23:52:33 +0000 2015,false,false,5415,2313,"Sioux Falls, SD",http://t.co/7EZswS49Q1,en,Profile Page,
ProTradersNews,ProTradersNews,"$BMY:

Bristol-Myers Squibb’s “Buy” Rating Reiterated at Cowen and …:

StockNewsHour.com/bmy-bristol-my…",Sat Sep 12 00:01:05 +0000 2015,false,false,574,5,United States,"1 years, 6 months",en,Profile Page,
TalkMarkets,TalkMarkets,Why You Should Hunt For Value Rather Than Chase Momentum $HES $WMT $FDN Also $AA $BMY $MET $AMZN $NFLX $IYE $FB goo.gl/bJidRd,Sat Sep 12 00:09:02 +0000 2015,false,false,1107,397,,http://t.co/iL0trK2OzM,en,Profile Page,
AmericanBanking,US Banking News,"Equities Research Analysts’ Updated EPS Estimates for September, 11th $AAL, AGTC, AMAG, AVGO, BABA, BMY, CBK, CHKE… ift.tt/1OIiWej",Sat Sep 12 00:25:01 +0000 2015,false,false,5415,2313,"Sioux Falls, SD",http://t.co/7EZswS49Q1,en,Profile Page,
TickerReport,Ticker Report,"Equities Research Analysts’ Updated EPS Estimates for September, 11th $AAL, AGTC, AMAG, AVGO, BABA, BMY, CBK, CHKE… ift.tt/1OIiWej",Sat Sep 12 00:26:36 +0000 2015,false,false,717,11,Virginia,"1 years, 10 months",en,Profile Page,
rud1w1,Rudy Wijaya ,"BMy robot has 127 hp left! I've earned a total of 307,000 free satoshis from  robotcoingame.com/?id=4233083 #robotcoingame #Bitcoin #FreeBitcoin",Sat Sep 12 00:28:14 +0000 2015,false,false,199,689,Indonesia,"5 years, 9 months",en,Profile Page,
AmConsumerNews,Consumer News,"Equities Research Analysts’ Updated EPS Estimates for September, 11th $AAL, AGTC, AMAG, AVGO, BABA, BMY, CBK, CHKE, COH, CYTX …",Sat Sep 12 00:28:16 +0000 2015,false,false,984,1413,"Sioux Falls, SD",http://t.co/odTc3pvcAe,en,Profile Page,
SleekMoneycom,Sleek Money,"Equities Research Analysts’ Updated EPS Estimates for September, 11th $AAL, AGTC, AMAG, AVGO, BABA, BMY, CBK, CHKE… ift.tt/1UMOBNA",Sat Sep 12 00:31:09 +0000 2015,false,false,593,0,,"1 years, 3 weeks",en,Profile Page,
danrocks4,danrocks,"GOOG Google Inc. - Class A 52Wk High
dlvr.it/C7GdQh

$GOOG $DSG.TO $BMY $AMD #GOOG #invest #share",Sat Sep 12 00:38:18 +0000 2015,false,false,714,499,,"1 years, 10 months",en,Profile Page,
rosnerstocks,Rosner Stocks,"MBLY McDonalds Corp. Day High
dlvr.it/C7Gqgh

$MBLY $GPRO $BMY $XLI #MBLY #nasdaq #finance",Sat Sep 12 00:41:07 +0000 2015,false,false,963,144,Investors Hangout,http://t.co/PLaIJQnyya,en,Profile Page,
teacamino698,tea,"""You are. and always have been,bmy dream.""",Sat Sep 12 01:24:55 +0000 2015,false,false,34,821,,"7 months, 3 weeks",es,Profile Page,
leandrahoz197,leandra,"My lov,, my love,bmy love",Sat Sep 12 02:09:41 +0000 2015,false,false,50,866,,"7 months, 6 days",es,Profile Page,
may_bmy,❌,"RT @Michael5SOS: so the new @bmthofficial record just dropped. this will be all I listen to for the next week, sorry. check it out http://tsmarturl.it/ThatsTheSpirit…",Sat Sep 12 02:10:29 +0000 2015,false,false,253,352,narnia,"1 years, 2 weeks",es,Profile Page,
may_bmy,❌,RT @Michael5SOS: @spazhemmings LOL this picture made me lol so hard,Sat Sep 12 02:10:43 +0000 2015,false,false,253,352,narnia,"1 years, 2 weeks",es,Profile Page,
may_bmy,❌,RT @Michael5SOS: all these people famous people having famous friends and tweeting each other all day everyday and I'm just here like http:pic.twitter.com/Ef7ABeACFD,Sat Sep 12 02:11:02 +0000 2015,false,false,253,352,narnia,"1 years, 2 weeks",es,Profile Page,
may_bmy,❌,RT @Michael5SOS: @halsey go to sleep,Sat Sep 12 02:11:11 +0000 2015,false,false,253,352,narnia,"1 years, 2 weeks",es,Profile Page,
may_bmy,❌,RT @Michael5SOS: @halsey but life is hard yes,Sat Sep 12 02:11:16 +0000 2015,false,false,253,352,narnia,"1 years, 2 weeks",es,Profile Page,
may_bmy,❌,RT @olobersyko: YES MY SONS- LETS GET THIS NUMBER ONE! itun.es/gb/B2b58 pic.twitter.com/xYB3zxstgU,Sat Sep 12 02:12:12 +0000 2015,false,false,253,352,narnia,"1 years, 2 weeks",es,Profile Page,
may_bmy,❌,@Ashton5SOS  new merch?,Sat Sep 12 02:13:32 +0000 2015,false,false,253,352,narnia,"1 years, 2 weeks",es,Profile Page,
may_bmy,❌,RT @HayIeyRae: I feel like 5sos are starting a new revolution with their music. It's beyond exciting to be witnessing all of it while it's …,Sat Sep 12 02:14:01 +0000 2015,false,false,253,352,narnia,"1 years, 2 weeks",es,Profile Page,
Ablate_Cancer,$PVCT ,"RT @zbiotech: cowen now forecasts PD-1/PD-L1 IO mkt to exceed 27B in '20...up from previous 12B expectations, continues to see $BMY as 'cle…",Sat Sep 12 02:26:10 +0000 2015,false,false,244,199,USA,http://t.co/IvHOLWsZON,en,Profile Page,
Emylers,Emylers,"BMY Bristol Myers Squibb Co. Ask
dlvr.it/C7JJl0

$BMY $XIV $GOOGL $DDD #BMY #nasdaq #pennystocksBND Vanguard Total Bond Market…",Sat Sep 12 02:35:04 +0000 2015,false,false,430,499,,"1 years, 10 months",en,Profile Page,
IHNewsDesk,IH News Desk,"BMY Bristol Myers Squibb Co. Ask
dlvr.it/C7JLCx

$BMY $XIV $GOOGL $DDD #BMY #nasdaq #pennystocksBND Vanguard Total Bond Market…",Sat Sep 12 02:35:11 +0000 2015,false,false,727,502,,"1 years, 9 months",en,Profile Page,
clayton_dd,clayton,"BMY Bristol Myers Squibb Co. Ask
dlvr.it/C7JKb7

$BMY $XIV $GOOGL $DDD #BMY #nasdaq #pennystocksBND Vanguard Total Bond Market…",Sat Sep 12 02:35:16 +0000 2015,false,false,601,490,,"1 years, 10 months",en,Profile Page,
may_bmy,❌,RT @MermaidWilma: date someone who gives you chills just by the way they look into your eyes.,Sat Sep 12 02:49:16 +0000 2015,false,false,253,352,narnia,"1 years, 2 weeks",es,Profile Page,
may_bmy,❌,RT @lilocollab: RETWEET THIS IF YOUR ACCOUNT IS A LOVE-ALL ZONE AND ANYONE OF ANY SEXUALITY IS ACCEPTED AND WELCOME IN YOUR DMS AT ANY TIME,Sat Sep 12 03:00:38 +0000 2015,false,false,253,352,narnia,"1 years, 2 weeks",es,Profile Page,
may_bmy,❌,RT @dustinstout: dont give up keep smiling pic.twitter.com/aqDuMbKv6Q,Sat Sep 12 03:00:57 +0000 2015,false,false,253,352,narnia,"1 years, 2 weeks",es,Profile Page,
toadmanstanks,toadmanstanks,RT @GovLiquidation: This BMY M931A2 #Tractor Truck comes with a Dynaweld M871A2 Flat Bed Semi Trailer and opens for bid on 9/15! http://t.cbit.ly/1Noq3eN,Sat Sep 12 03:25:30 +0000 2015,false,false,272,543,California,http://t.co/dE7W6RwytN,en,Profile Page,
DennyT14,DennyT,"BMY Bristol Myers Squibb Co. Investor Opinions
dlvr.it/C7KzR8

$BMY $XOM $BBRY $BTE.TO #BMY #investing #stockmarket",Sat Sep 12 04:35:33 +0000 2015,false,false,769,895,,"1 years, 8 months",en,Profile Page,
leahanneta,leahanne,"BMY Bristol Myers Squibb Co. Change
dlvr.it/C7Kt57

$BMY $AKBA $CEW.TO $BBD/B.TO #BMY #tradeideas #tradeideas",Sat Sep 12 04:37:04 +0000 2015,false,false,552,497,,"1 years, 10 months",en,Profile Page,
danrocks4,danrocks,"CAT Caterpillar, Inc. Ex-Div Date
dlvr.it/C7Kwsb

$CAT $CINF $VET.TO $BMY #CAT #pennystocks #invest",Sat Sep 12 04:37:06 +0000 2015,false,false,714,499,,"1 years, 10 months",en,Profile Page,
som50579,Somanath,"DennyT14 : BMY Bristol Myers Squibb Co. Investor Opinions
dlvr.it/C7KzR8

$BMY $… twitter.com/DennyT14/statu…) pic.twitter.com/NVjSG2yn3K",Sat Sep 12 04:37:40 +0000 2015,false,false,907,354,Mumbai,"3 years, 5 months",en,Profile Page,
IHNASDAQOMX,IH NASDAQ OMX,"CHK Chesapeake Energy Corp. Market Cap
dlvr.it/C7KtCY

$CHK $ADMD $BMY $CVE.TO #CHK #investing #investing",Sat Sep 12 04:38:06 +0000 2015,false,false,586,500,,"1 years, 9 months",en,Profile Page,
PolgarStocks,PolgarStocks,"CU.TO Canadian Utilities Ltd. Message Board Posts
dlvr.it/C7L2zF

$CU.TO $BMY $INE.TO $BLDR #CU.TO #pennystocks #finance",Sat Sep 12 04:40:05 +0000 2015,false,false,807,497,,"2 years, 2 days",en,Profile Page,
IHNASDAQOMX,IH NASDAQ OMX,"FOLD Amicus Therapeutics, Inc. Last Trade
dlvr.it/C7L3kT

$FOLD $BMY $AMBA $UWTI #FOLD #nasdaq #share",Sat Sep 12 04:47:12 +0000 2015,false,false,586,500,,"1 years, 9 months",en,Profile Page,
IHNASDAQOMX,IH NASDAQ OMX,"FOLD Amicus Therapeutics, Inc. Last Trade
dlvr.it/C7L384

$FOLD $BMY $AMBA $UWTI #FOLD #nasdaq #share",Sat Sep 12 04:47:12 +0000 2015,false,false,586,500,,"1 years, 9 months",en,Profile Page,
IHNASDAQOMX,IH NASDAQ OMX,"FOLD Amicus Therapeutics, Inc. Last Trade
dlvr.it/C7L2Dw

$FOLD $BMY $AMBA $UWTI #FOLD #nasdaq #share",Sat Sep 12 04:47:12 +0000 2015,false,false,586,500,,"1 years, 9 months",en,Profile Page,
IHNASDAQOMX,IH NASDAQ OMX,"FOLD Amicus Therapeutics, Inc. Last Trade
dlvr.it/C7L1v8

$FOLD $BMY $AMBA $UWTI #FOLD #nasdaq #share",Sat Sep 12 04:47:13 +0000 2015,false,false,586,500,,"1 years, 9 months",en,Profile Page,
IHNASDAQOMX,IH NASDAQ OMX,"SMH Market Vectors Semiconductor E.P.S.
dlvr.it/C7LBX7

$SMH $BRCM $BMY $NEM #SMH #tradeideas #stocks",Sat Sep 12 04:56:19 +0000 2015,false,false,586,500,,"1 years, 9 months",en,Profile Page,
IHNASDAQOMX,IH NASDAQ OMX,"SMH Market Vectors Semiconductor Chart
dlvr.it/C7LFKx

$SMH $REGN $EWJ $BMY #SMH #investing #invest",Sat Sep 12 04:56:32 +0000 2015,false,false,586,500,,"1 years, 9 months",en,Profile Page,
Jim5011,jim50,"UA Under Armour, Inc. Investor Opinions
dlvr.it/C7LCvK

$UA $BMY $CLDX $XLK #UA #stockmarket #finance",Sat Sep 12 04:59:27 +0000 2015,false,false,524,495,,"1 years, 10 months",en,Profile Page,
som50579,Somanath,"Jim5011 : UA Under Armour, Inc. Investor Opinions
dlvr.it/C7LCvK

$UA $BMY $CLDX… twitter.com/Jim5011/status…) pic.twitter.com/diOZ7nZGox",Sat Sep 12 05:05:01 +0000 2015,false,false,907,354,Mumbai,"3 years, 5 months",en,Profile Page,
JoanArianna,JoanArianna,Pretense chord corporates leave no option an e attainments effectuation set: Bmy,Sat Sep 12 05:18:47 +0000 2015,false,false,81,1,,"2 years, 6 months",en,Profile Page,
hyungwons_,avalanche ☆ || #rush,@heopup SCRE AM S SOHG F MY SGGOFJCKINSHBHGO F BMY TALL AF BABBI R S  FUVO,Sat Sep 12 07:02:24 +0000 2015,false,false,762,463,fort no ,http://t.co/fFd4XKkIZ3,en,Profile Page,
NewsAmericanAir,AA News,"Morning Stock Trends: @AmericanAir Group Inc. (AAL), BP p.l.c. (BP ... - WallStreet Scope fat.ly/9ngY",Sat Sep 12 09:24:05 +0000 2015,false,false,833,13,Global,http://t.co/Yir2hDHEyy,en,Profile Page,
