User,User Name,Tweet,Time,Following?,Follows?,Followers,Following,Location,Account Age,Website,Language,Profile Image
NewsToDesk,BreakingStocksNews,"$CASY:

Stock in Motion: Caseys General Stores, Inc. (NASDAQ:CASY):

StockNewsHour.com/casy-stock-in-…",Thu Sep 03 17:12:02 +0000 2015,false,false,407,0,U.S.,"1 years, 6 months",en,Profile Page,
dakotafinancial,Dakota Financial ,Casey's General Stores Stock Rating Upgraded by Zacks $CASY ift.tt/1Oe6i6O,Thu Sep 03 21:10:15 +0000 2015,false,false,990,40,,"8 months, 4 weeks",en,Profile Page,
TickerReport,Ticker Report,Casey's General Stores Stock Rating Upgraded by Zacks $CASY ift.tt/1hYAyIN,Thu Sep 03 21:11:33 +0000 2015,false,false,717,11,Virginia,"1 years, 10 months",en,Profile Page,
AmericanBanking,US Banking News,Casey's General Stores Stock Rating Upgraded by Zacks $CASY ift.tt/1hYAyIN,Thu Sep 03 21:22:32 +0000 2015,false,false,5415,2313,"Sioux Falls, SD",http://t.co/7EZswS49Q1,en,Profile Page,
chartguy89,chartguy89,CASY +0.22% Stock Charts $CASY Casey's General Stores Inc. (NASDAQ) Last Updated: 09/06/2015 07:42:37 CASY Sto investorshangout.com/post/view?id=3…,Sun Sep 06 12:42:16 +0000 2015,false,false,1275,717,,"1 years, 8 months",en,Profile Page,
SeguinSteph,$teph,$CASY long setup itunes.apple.com/us/app/stockpr… pic.twitter.com/fzc6TuZ85m,Mon Sep 07 12:01:29 +0000 2015,false,false,376,150,,"5 years, 1 months",en,Profile Page,
Allstocknews,$Stocknewsalerts,"$CASY Enjoy a donut on us!
From our Stock News Alerts App",Mon Sep 07 16:01:55 +0000 2015,false,false,793,10,,https://t.co/PQSytGvcf6,en,Profile Page,
EquityClock,Equity Clock,Seasonal charts of companies reporting earnings today $TIVO $SPA $PBY $PSUN $NSSC $MW $LAYN $KFY $GFN $FCEL $CASY: stks.co/h35yh,Tue Sep 08 09:01:03 +0000 2015,false,false,1718,343,America,http://www.equityclock.com/,en,Profile Page,
JustSignals,JustSignals,RT @EquityClock: Seasonal charts of companies reporting earnings today $TIVO $SPA $PBY $PSUN $NSSC $MW $LAYN $KFY $GFN $FCEL $CASY: http://stks.co/h35yh,Tue Sep 08 11:26:37 +0000 2015,false,false,111,61,,http://t.co/HpMFOTCXEN,en,Profile Page,
Allstocknews,$Stocknewsalerts,"$CASY News from Casey's General Stores, Inc.
From our Stock News Alerts App",Tue Sep 08 20:33:58 +0000 2015,false,false,793,10,,https://t.co/PQSytGvcf6,en,Profile Page,
Makayla19Lewis,Makayla Lewis,"Casy Stock Quote Casey's General Stores Inc. Stock Price … : thebingbing.com/fortune/849354 ,,,,",Wed Sep 09 02:27:30 +0000 2015,false,false,7033,7517,Global,"2 years, 10 months",en,Profile Page,
ThudderWicks,Thudder & Wicks,$CASY 'Excellent' Results Drive Record Stock Price goo.gl/Z8gktg,Wed Sep 09 03:51:29 +0000 2015,false,false,43222,42652,LUGANO LONDON,http://t.co/OUCFcp2TyR,en-gb,Profile Page,
Alexability,Alexandria,Top sentiment for SP1500 stocks at market open: $BIIB $CASY $MCHP $ESL $IBM (2015/09/09) #sentiment #stock #alexandria,Wed Sep 09 13:30:01 +0000 2015,false,false,34,28,Los Angeles,http://t.co/TtrCiERJXM,en,Profile Page,
Alexability,Alexandria,Top sentiment for SP1500 stocks at midday: $UPS $BIIB $CASY $MCHP $ESL (2015/09/09) #sentiment #stock #alexandria,Wed Sep 09 17:00:01 +0000 2015,false,false,34,28,Los Angeles,http://t.co/TtrCiERJXM,en,Profile Page,
Makayla19Lewis,Makayla Lewis,Casy Stock Quote Casey's General Stores Inc. Stock Price … : thebingbing.com/fortune/849354 ...,Wed Sep 09 17:27:35 +0000 2015,false,false,7033,7517,Global,"2 years, 10 months",en,Profile Page,
Alexability,Alexandria,Top sentiment for SP1500 stocks at market close: $UPS $BIIB $CASY $MCHP $ESL (2015/09/09) #sentiment #stock #alexandria,Wed Sep 09 20:00:02 +0000 2015,false,false,34,28,Los Angeles,http://t.co/TtrCiERJXM,en,Profile Page,
BINGBINGFORTUNE,BINGBING Fortune,"Casy Stock Quote Casey's General Stores Inc. Stock Price … : thebingbing.com/fortune/849354 ,",Wed Sep 09 21:35:19 +0000 2015,false,false,23412,20756,,http://t.co/oPiVZa0c5Z,en,Profile Page,
BINGBINGFORTUNE,BINGBING Fortune,"Casy Stock Quote Casey's General Stores Inc. Stock Price … : thebingbing.com/fortune/849354 ,,,",Thu Sep 10 01:45:17 +0000 2015,false,false,23412,20756,,http://t.co/oPiVZa0c5Z,en,Profile Page,
SarahMoore202,Sarah Moore,"Casy Stock Quote Casey's General Stores Inc. Stock Price … : thebingbing.com/fortune/849354 .,",Thu Sep 10 05:44:51 +0000 2015,false,false,4718,4855,,"2 months, 3 weeks",en,Profile Page,
iHangout4,iHangout,jones2000: Stock Info: Casey’s (CASY) reported above-consensus dlvr.it/C6LhH4,Thu Sep 10 08:45:35 +0000 2015,false,false,664,471,Investors Hangout,http://t.co/l4qmOlz0qf,en,Profile Page,
SarahMoore202,Sarah Moore,"Casy Stock Quote Casey's General Stores Inc. Stock Price … : thebingbing.com/fortune/849354 .,,,",Thu Sep 10 09:20:12 +0000 2015,false,false,4718,4855,,"2 months, 3 weeks",en,Profile Page,
SarahMoore202,Sarah Moore,Casy Stock Quote Casey's General Stores Inc. Stock Price … : thebingbing.com/fortune/849354 .,Thu Sep 10 13:00:43 +0000 2015,false,false,4718,4855,,"2 months, 3 weeks",en,Profile Page,
Alexability,Alexandria,Top sentiment for SP1500 stocks at market open: $UPS $CASY $AGN $UTX $BIIB (2015/09/10) #sentiment #stock #alexandria,Thu Sep 10 13:30:02 +0000 2015,false,false,34,28,Los Angeles,http://t.co/TtrCiERJXM,en,Profile Page,
CompuccinoNL,CompuccinoNL,INVESTMENT NEWS Is Casey's General Stores (CASY) Stock a Solid Choice Right Now? ift.tt/1NjUJMH … ift.tt/1ATQmCg,Thu Sep 10 13:35:59 +0000 2015,false,false,275,93,Haarlem,http://t.co/3RfidFK0uD,nl,Profile Page,
Alexability,Alexandria,Top sentiment for SP1500 stocks at midday: $UPS $CASY $AGN $UTX $AMZN (2015/09/10) #sentiment #stock #alexandria,Thu Sep 10 17:00:17 +0000 2015,false,false,34,28,Los Angeles,http://t.co/TtrCiERJXM,en,Profile Page,
firsttomarkets,FirstToMarkets,"Casey's General Stores, Inc.  Boost Price Target by Deutsche Bank (Ranked 14th) to Hold with 112 PT $CASY #CASY firsttomarkets.com/analytics/stoc…",Thu Sep 10 17:15:13 +0000 2015,false,false,137,39,,http://t.co/pvYJ4srUXZ,en,Profile Page,
Makayla19Lewis,Makayla Lewis,Casy Stock Quote Casey's General Stores Inc. Stock Price … : thebingbing.com/fortune/849354 ...,Thu Sep 10 17:24:14 +0000 2015,false,false,7033,7517,Global,"2 years, 10 months",en,Profile Page,
TradrBot,Trader Bot,"Casey's General Stores, Inc. (CASY) rated Hold with price target $112 by Deutsche Bank dlvr.it/C6bsN6 #CASY",Thu Sep 10 17:37:05 +0000 2015,false,false,1602,1228,,"3 years, 4 months",en,Profile Page,
Alexability,Alexandria,Top sentiment for SP1500 stocks at market close: $UPS $AGN $CASY $MTX $UTX (2015/09/10) #sentiment #stock #alexandria,Thu Sep 10 20:00:02 +0000 2015,false,false,34,28,Los Angeles,http://t.co/TtrCiERJXM,en,Profile Page,
BINGBINGFORTUNE,BINGBING Fortune,"Casy Stock Quote Casey's General Stores Inc. Stock Price … : thebingbing.com/fortune/849354 ,",Thu Sep 10 21:47:19 +0000 2015,false,false,23412,20756,,http://t.co/oPiVZa0c5Z,en,Profile Page,
BINGBINGFORTUNE,BINGBING Fortune,"Casy Stock Quote Casey's General Stores Inc. Stock Price … : thebingbing.com/fortune/849354 ,,,",Fri Sep 11 01:48:04 +0000 2015,false,false,23412,20756,,http://t.co/oPiVZa0c5Z,en,Profile Page,
Mia_Thomson_GD,Mia Thomson,"Casy Stock Quote Casey's General Stores Inc. Stock Price … : thebingbing.com/fortune/849354 .,",Fri Sep 11 05:43:03 +0000 2015,false,false,6298,6736,,"2 years, 10 months",en,Profile Page,
