User,User Name,Tweet,Time,Following?,Follows?,Followers,Following,Location,Account Age,Website,Language,Profile Image
Emylers,Emylers,"GE General Electric Co. Current Price
dlvr.it/C7Dzjj

$GE $EEM $FCX $CELG #GE #investing #stock",Fri Sep 11 22:38:36 +0000 2015,false,false,430,499,,"1 years, 10 months",en,Profile Page,
lookn4wins,lookn4wins,"FCX Freeport-McMoRan, Inc. Bid
dlvr.it/C7F2Hg

$FCX $NFI.TO $CELG $AMDA #FCX #stocks #nasdaq",Fri Sep 11 22:44:10 +0000 2015,false,false,982,495,,"1 years, 10 months",en,Profile Page,
DennyT14,DennyT,"PG Procter &amp; Gamble Co. Company Info
dlvr.it/C7F7Sl

$PG $WMIH $UVXY $CELG #PG #investing #tradeideas",Fri Sep 11 22:44:14 +0000 2015,false,false,769,895,,"1 years, 8 months",en,Profile Page,
IHNewsDesk,IH News Desk,"IBM International Business Machines % Change
dlvr.it/C7F6Sn

$IBM $CELG $KR $BND #IBM #nasdaq #investing",Fri Sep 11 22:45:47 +0000 2015,false,false,727,502,,"1 years, 9 months",en,Profile Page,
lookn4wins,lookn4wins,"UVXY ProShares Ultra VIX Short-Term Futures ETF Company Info
dlvr.it/C7F2c2

$UVXY $NEM $MRVL $CELG #UVXY #share #stocks",Fri Sep 11 22:48:33 +0000 2015,false,false,982,495,,"1 years, 10 months",en,Profile Page,
lookn4wins,lookn4wins,"XLK Technology Select Sector SPDR Prev Close
dlvr.it/C7FFKR

$XLK $FCX $CELG $EA #XLK #pennystocks #nasdaq",Fri Sep 11 22:51:05 +0000 2015,false,false,982,495,,"1 years, 10 months",en,Profile Page,
Stock_Tracker1,Stock_Tracker,"XLY Consumer Discretionary Select Sector SPDR Investor Opinions
dlvr.it/C7FGWD

$XLY $COP $CELG $DVN #XLY #nasdaq #pennystocks",Fri Sep 11 22:52:34 +0000 2015,false,false,1483,496,,"1 years, 10 months",en,Profile Page,
DebianUpload,Debian upload,New upload: Accepted zsh 5.1.1-1 (source all amd64) into unstable by Axel Beckert... deb.li/CELG,Fri Sep 11 23:00:06 +0000 2015,false,false,126,3,,http://t.co/emxPLLSM7Y,en,Profile Page,
OphirGottlieb,Ophir Gottlieb,$CELG vs. $AMGN Head to Head  bit.ly/1HQbHvg pic.twitter.com/kmdXnyKZcm,Fri Sep 11 23:08:01 +0000 2015,false,false,8904,77,"Los Angeles, CA",http://t.co/oBSBekkEe1,en,Profile Page,
TopTenStocks,Best Stocks,Top #Nasdaq #Stocks Weekly Alert AVGO KLAC GILD ILMN REGN AMZN SWKS TSCO CELG  12Stocks.com/QQQQ,Sat Sep 12 00:22:15 +0000 2015,false,false,53,4,"Orlando, FL",http://t.co/Y1qgkf5Nnf,en,Profile Page,
Gr8WklyOptions,PtheGr8,$CELG Call buyin all day long ratio is for both front end as well as next week exp. have 2make distinction screencast.com/t/GHZ7Lgsq,Sat Sep 12 00:32:58 +0000 2015,false,false,848,136,Miami Brickell Key,http://t.co/Ya3out2Hlp,en,Profile Page,
BruceKamich,"Bruce Kamich, CMT","Celgene (CELG) Stock Stuck, Sideways Slack in Sight thestreet.com/story/13285774… via @thestreet",Sat Sep 12 00:36:31 +0000 2015,false,false,860,96,,http://t.co/fz5nX5x4EZ,en,Profile Page,
Stocks_Biotech,Biotech Stocks,Superbug conference trades.. finance.yahoo.com/video/superbug… 12Stocks.com/CELG #Biotech #stocks,Sat Sep 12 00:57:06 +0000 2015,false,false,392,23,"Orlando, FL",http://t.co/kbMVG2qdW7,en,Profile Page,
Stocks_Biotech,Biotech Stocks,#Biotech #stocks $CELG Celgene  Daily:0.81% Weekly:5.61% YTD:10.83% Trend:58 / 100  12Stocks.com/CELG,Sat Sep 12 01:02:17 +0000 2015,false,false,392,23,"Orlando, FL",http://t.co/kbMVG2qdW7,en,Profile Page,
