User,User Name,Tweet,Time,Following?,Follows?,Followers,Following,Location,Account Age,Website,Language,Profile Image
stock_forums,Stock Forums,"JPM J.P. Morgan Chase &amp; Co. Last Price
dlvr.it/C63x5V

$JPM $CNX $BEAT $PCLN #JPM #tradeideas #tradeideas",Wed Sep 09 18:39:38 +0000 2015,false,false,4383,536,Investors Hangout,http://t.co/JkfatuqVnK,en,Profile Page,
DigitallGuy,Gary Guillot,Nifty can fall at opening bell: Maximus Securities:  Trading of CNX Nifty futures on the Singapore stock excha... bit.ly/1XNTTws,Thu Sep 10 03:45:00 +0000 2015,false,false,385,1051,Lansing,"1 years, 5 months",en,Profile Page,
moneycontrol_,moneycontrol_,Nifty can fall at opening bell: Maximus Securities:  Trading of CNX Nifty futures on the Singapore stock excha... bit.ly/1XO1H1g,Thu Sep 10 04:33:57 +0000 2015,false,false,4032,0,,"6 years, 9 months",en,Profile Page,
TheDelhiTimes,The Delhi Times,"The stock appreciated by nearly 100% from Rs 614 on June 9, to Rs 1,213 compared to 3.2% decline in CNX Nifty. fb.me/6PGXgKU1A",Thu Sep 10 08:58:40 +0000 2015,false,false,208,109,New Delhi,http://t.co/PU2piCGIbA,en,Profile Page,
TopYields,TopYields.nl,The stock with the highest dividend yield (6.13%) of the S&amp;P CNX Nifty (India) is COAL INDIA goo.gl/Erm2B,Thu Sep 10 09:06:21 +0000 2015,false,false,1009,70,,http://t.co/uvPhZvKZdn,en,Profile Page,
newsinvesting,Investing.com News,India #stocks lower at close of trade; S&amp;P CNX Nifty down 0.39% - invst.ly/2oxo,Thu Sep 10 10:55:06 +0000 2015,false,false,16071,1695,,http://t.co/lnza0CeM,en,Profile Page,
TrulaRetort,Forex Binary Option ,RT @newsinvesting: India #stocks lower at close of trade; S&amp;P CNX Nifty down 0.39% - invst.ly/2oxo,Thu Sep 10 10:55:08 +0000 2015,false,false,137,69,,http://t.co/89y6yhdGkA,en,Profile Page,
FinanzLinksUS,FinanzLinksMarkets,RT @newsinvesting: India #stocks lower at close of trade; S&amp;P CNX Nifty down 0.39% - invst.ly/2oxo,Thu Sep 10 10:56:13 +0000 2015,false,false,141,58,,http://t.co/uychL6NBLI,en,Profile Page,
KevinFitts,Kevin ,India stocks lower at close of trade; S&amp;P CNX Nifty down 0.39% ift.tt/1Kc0Hhz Follow KevinFitts for #FutureWorldNews,Thu Sep 10 10:56:40 +0000 2015,false,false,669,2001,"Portland, Oregon",http://t.co/e1XOFO1G3H,en,Profile Page,
starteam_mdn,Star Team,India stocks lower at close of trade; S&amp;P CNX Nifty down 0.39% bit.ly/1L44H4K,Thu Sep 10 11:04:16 +0000 2015,false,false,95,363,Medan,http://t.co/DstYi5sl3R,en,Profile Page,
HarryWalkman,Harry Walkman,$CNX CONSOL Energy (CNX) Stock Sliding along with Oil Prices stocknomics.co/u/MjEzNDg1,Thu Sep 10 12:09:27 +0000 2015,false,false,98,36,,http://t.co/mQsjLVsO3i,en,Profile Page,
icharttop,Tony Aquaro,India stocks lower at close of trade; S&amp;P CNX Nifty down 0.39% - Investing.com bit.ly/1XPi3qw #news,Thu Sep 10 12:16:53 +0000 2015,false,false,4213,3078,Australia,http://t.co/IHYuYHiSGS,en,Profile Page,
BruceAshton1,BruceAshton,Espouse retailing otherwise stock market explore: cNx,Thu Sep 10 13:44:03 +0000 2015,false,false,137,2,,"2 years, 6 months",en,Profile Page,
PeterBardens,Peter Bardens,$CNX CONSOL Energy (CNX) Stock Sliding along with Oil Prices stocknomics.co/u/Mzc0ODIw,Thu Sep 10 14:02:02 +0000 2015,false,false,109,57,,http://t.co/7dZQiOJJID,en,Profile Page,
soodhemant,Hemant Sood,@PPFAS do you think comparison to cnx/sensex is fair for your fund when you have positions in currency and stock futures?,Thu Sep 10 17:32:19 +0000 2015,false,false,62,14,,"4 years, 1 months",en,Profile Page,
Allstocknews,$Stocknewsalerts,"$CNX ALERT: New CONSOL Energy SEC Filing
From our Stock News Alerts App",Thu Sep 10 20:16:57 +0000 2015,false,false,793,10,,https://t.co/PQSytGvcf6,en,Profile Page,
moneycontrol_,moneycontrol_,Nifty can gain at opening bell: Maximus Securities:  Trading of CNX Nifty futures on the Singapore stock excha... bit.ly/1XRJ1xG,Fri Sep 11 03:45:08 +0000 2015,false,false,4032,0,,"6 years, 9 months",en,Profile Page,
DigitallGuy,Gary Guillot,Nifty can gain at opening bell: Maximus Securities:  Trading of CNX Nifty futures on the Singapore stock excha... bit.ly/1XRK012,Fri Sep 11 03:55:49 +0000 2015,false,false,385,1051,Lansing,"1 years, 5 months",en,Profile Page,
Stock_Tracker1,Stock_Tracker,"AGG iShares Barclays Aggregate Bond Fund Bid
dlvr.it/C6p4VK

$AGG $CNX $NKE $GS #AGG #stock #nasdaq",Fri Sep 11 04:31:10 +0000 2015,false,false,1483,496,,"1 years, 10 months",en,Profile Page,
IHPosts2,Investors Hangout,"CNX Consol Energy, Inc. Tick
dlvr.it/C6pGMW

$CNX $ZGNX $CVC $JPM #CNX #stock #finance",Fri Sep 11 04:35:34 +0000 2015,false,false,13150,471,,"1 years, 2 months",en,Profile Page,
DennyT14,DennyT,"CNX Consol Energy, Inc. Stock Message Board
dlvr.it/C6pHSB

$CNX $CNR.TO $CMG $MRO #CNX #share #tradeideas",Fri Sep 11 04:35:35 +0000 2015,false,false,769,895,,"1 years, 8 months",en,Profile Page,
Jake132013,Jake13,"COST Costco Wholesale Corp. Last Price
dlvr.it/C6pF4J

$COST $CNX $UGAZ $QLD #COST #stocks #stock",Fri Sep 11 04:37:04 +0000 2015,false,false,701,489,,"1 years, 10 months",en,Profile Page,
IHNewsDesk,IH News Desk,"FEYE FireEye Inc. Message Board Posts
dlvr.it/C6pF5L

$FEYE $CNX $XLU $SDRL #FEYE #invest #stock",Fri Sep 11 04:39:06 +0000 2015,false,false,727,502,,"1 years, 9 months",en,Profile Page,
1LuckyJimmy,Lucky Jimmy,"PANW Palo Alto Networks Inc. Summary
dlvr.it/C6pQXw

$PANW $SWKS $SCO $CNX #PANW #stock #nasdaq",Fri Sep 11 04:45:06 +0000 2015,false,false,447,492,IH,http://t.co/b6HCTM0G2l,en,Profile Page,
TopYields,TopYields.nl,The stock with the highest dividend yield (6.20%) of the S&amp;P CNX Nifty (India) is COAL INDIA goo.gl/Erm2B,Fri Sep 11 09:03:46 +0000 2015,false,false,1009,70,,http://t.co/uvPhZvKZdn,en,Profile Page,
BhiveD11,BHIVE Social Bee,RT @jamesstockbond: #investing India stocks lower at close of trade; S&amp;P CNX Nifty down 1.26% bit.ly/1hPL1Wu #stocks,Fri Sep 11 09:09:35 +0000 2015,false,false,173,169,,http://t.co/KRZYigu995,en,Profile Page,
InvestWithConf,InvestWithConf,"$CNX is rated BUY, 93.4% upside by Wall Street analysts based on average ratings/targets manyratings.com/CNX pic.twitter.com/NvRVokBvWQ",Fri Sep 11 10:02:03 +0000 2015,false,false,193,0,,"1 years, 6 months",en,Profile Page,
newsinvesting,Investing.com News,India #stocks mixed at close of trade; S&amp;P CNX Nifty up 0.02% - invst.ly/2qej,Fri Sep 11 10:50:03 +0000 2015,false,false,16071,1695,,http://t.co/lnza0CeM,en,Profile Page,
jamesstockbond,James Roberts,#investing India stocks mixed at close of trade; S&amp;P CNX Nifty up 0.02% bit.ly/1OG0kLX #stocks,Fri Sep 11 10:51:11 +0000 2015,false,false,152,49,"Miami, Florida","1 years, 3 months",en,Profile Page,
invest_potntial,Investment Potential,India stocks mixed at close of trade; S&amp;P CNX Nifty up 0.02%:  bit.ly/1XSCGlQ #invest,Fri Sep 11 10:51:14 +0000 2015,false,false,69,32,,"1 years, 2 months",en,Profile Page,
T_O_Broker,Toronto Broker,India stocks mixed at close of trade; S&amp;P CNX Nifty up 0.02%:  bit.ly/1XSCGlQ,Fri Sep 11 10:51:17 +0000 2015,false,false,58,1,"Toronto, Canada","1 years, 2 months",en,Profile Page,
FinanzLinksUS,FinanzLinksMarkets,RT @newsinvesting: India #stocks mixed at close of trade; S&amp;P CNX Nifty up 0.02% - invst.ly/2qej,Fri Sep 11 10:54:34 +0000 2015,false,false,141,58,,http://t.co/uychL6NBLI,en,Profile Page,
KevinFitts,Kevin ,India stocks mixed at close of trade; S&amp;P CNX Nifty up 0.02% ift.tt/1QsAGM1 Follow KevinFitts for #FutureWorldNews,Fri Sep 11 10:56:24 +0000 2015,false,false,669,2001,"Portland, Oregon",http://t.co/e1XOFO1G3H,en,Profile Page,
TrulaRetort,Forex Binary Option ,RT @newsinvesting: India #stocks mixed at close of trade; S&amp;P CNX Nifty up 0.02% - invst.ly/2qej,Fri Sep 11 11:01:11 +0000 2015,false,false,137,69,,http://t.co/89y6yhdGkA,en,Profile Page,
starteam_mdn,Star Team,India stocks mixed at close of trade; S&amp;P CNX Nifty up 0.02% bit.ly/1Oi3Eiy,Fri Sep 11 11:04:25 +0000 2015,false,false,95,363,Medan,http://t.co/DstYi5sl3R,en,Profile Page,
LeonidKotlyar,Leonid Kotlyar,India stocks mixed at close of trade; S&amp;P CNX Nifty up 0.02% goo.gl/fb/ceWy1L,Fri Sep 11 11:13:46 +0000 2015,false,false,1770,817,,"3 years, 10 months",ru,Profile Page,
firsttomarkets,FirstToMarkets,CONSOL Energy Inc. Lower Price Target by Jefferies &amp; Co (Ranked 24th) to  with 20 PT $CNX #CNX firsttomarkets.com/analytics/stoc…,Fri Sep 11 18:15:41 +0000 2015,false,false,137,39,,http://t.co/pvYJ4srUXZ,en,Profile Page,
StockAction,TheStreet SpeedDesk,CONSOL Energy $CNX Stock Declines on Falling Oil Prices dlvr.it/C78YTq,Fri Sep 11 18:16:04 +0000 2015,false,false,2607,26,"New York, NY",http://t.co/XZWCvoCEnU,en,Profile Page,
TraderDaily,Trader Daily,CONSOL Energy $CNX Stock Declines on Falling Oil Prices dlvr.it/C78Vr5,Fri Sep 11 18:16:04 +0000 2015,false,false,1996,1228,"New York, NY",http://t.co/xkMHpZC2GX,en,Profile Page,
