User,User Name,Tweet,Time,Following?,Follows?,Followers,Following,Location,Account Age,Website,Language,Profile Image
StockDawgzz,Stock Dawgzz,MASSIVE Gains On Penny Stock Picks And The Next Major Pick Is This Week! Big News: goo.gl/UCs3AK $PCAR $CTAS $S $ODFL,Fri Sep 04 16:57:35 +0000 2015,false,false,15760,1,,"5 months, 4 weeks",en,Profile Page,
Stockaholics,Stockaholics,"After Nearly 500% Gains In 2 Months On Stock Alerts, We Have A New Pick Ready! Check It Out: bit.ly/1NTUlFp $PCAR $CTAS $S $ODFL",Fri Sep 04 16:59:23 +0000 2015,false,false,15143,8,,"1 years, 4 months",en,Profile Page,
Stockenheimer1,StockenheimerSchmidt,Our Stock Alert On $GEQU More Than QUINTUPLED In 2 Months! See Our Next Big Pick: ow.ly/RC9kv $PCAR $CTAS $S $ODFL,Fri Sep 04 17:01:30 +0000 2015,false,false,5029,0,,"1 years, 4 months",en,Profile Page,
YamasutaTrader,Yamasuta,"$CTAS - SELL Signal at 83.75 on Sep 04, 15 By YaMasuta.com, Trading Signals Robot #stock #trading #trade #investing",Sun Sep 06 06:35:00 +0000 2015,false,false,122,4,FREE REGISTRATION,http://t.co/6rv8QoprWM,en,Profile Page,
raadr_,Raadr,"RT @YamasutaTrader: $CTAS - SELL Signal at 83.75 on Sep 04, 15 By YaMasuta.com, Trading Signals Robot #stock #trading #trade #investing",Sun Sep 06 06:38:09 +0000 2015,false,false,110,683,,http://t.co/TFNCurYsmj,en,Profile Page,
YamasutaTrader,Yamasuta,"$CTAS - SELL Signal at 83.75 on Sep 04, 15 By YaMasuta.com, Trading Signals Robot #stock #trading #trade #investing",Sun Sep 06 16:25:00 +0000 2015,false,false,122,4,FREE REGISTRATION,http://t.co/6rv8QoprWM,en,Profile Page,
LucatelliA,Adriano B. Lucatelli,Do risk-parity strategies and CTAs bear the blame for the recent stock market correction? uk.businessinsider.com/leon-cooperman…,Sun Sep 06 17:59:15 +0000 2015,false,false,431,343,,"2 years, 3 months",en,Profile Page,
chartguy89,chartguy89,CTAS -1.57% Stock Charts $CTAS Cintas Corp. (NASDAQ) Last Updated: 09/06/2015 16:35:36 CTAS Stock Chart - 1 Mo investorshangout.com/post/view?id=3…,Sun Sep 06 21:35:14 +0000 2015,false,false,1275,717,,"1 years, 8 months",en,Profile Page,
YamasutaTrader,Yamasuta,"$CTAS - SELL Signal at 83.75 on Sep 04, 15 By YaMasuta.com, Trading Signals Robot #stock #trading #trade #investing",Mon Sep 07 01:35:00 +0000 2015,false,false,122,4,FREE REGISTRATION,http://t.co/6rv8QoprWM,en,Profile Page,
STYRUS_tokyo,styrus.com,CONVERSE CONS CTAS PRO CANVAS HI &amp; OX - Black/Rubber now in stock. #conversecons instagram.com/p/7Ucv-grkrG/,Mon Sep 07 06:59:04 +0000 2015,false,false,605,279,東京都渋谷区富ヶ谷,http://t.co/ta4MX6asFo,ja,Profile Page,
YamasutaTrader,Yamasuta,"$CTAS - SELL Signal at 83.75 on Sep 04, 15 By YaMasuta.com, Trading Signals Robot #stock #trading #trade #investing",Mon Sep 07 08:35:00 +0000 2015,false,false,122,4,FREE REGISTRATION,http://t.co/6rv8QoprWM,en,Profile Page,
YamasutaTrader,Yamasuta,"$CTAS - SELL Signal at 83.75 on Sep 04, 15 By YaMasuta.com, Trading Signals Robot #stock #trading #trade #investing",Mon Sep 07 15:40:00 +0000 2015,false,false,122,4,FREE REGISTRATION,http://t.co/6rv8QoprWM,en,Profile Page,
YamasutaTrader,Yamasuta,"$CTAS - SELL Signal at 83.75 on Sep 04, 15 By YaMasuta.com, Trading Signals Robot #stock #trading #trade #investing",Mon Sep 07 22:50:00 +0000 2015,false,false,122,4,FREE REGISTRATION,http://t.co/6rv8QoprWM,en,Profile Page,
TheStockGuyz,Michael James,Our Penny Stock Alert On $GEQU Is Up 614.29% For Our Subscribers! Check Out Our New Pick: tinyurl.com/q6s7gjb $PCAR $CTAS $S $ODFL,Tue Sep 08 07:52:50 +0000 2015,false,false,23103,0,,"2 months, 4 weeks",en,Profile Page,
Stockfiendz,Michael Cook,"Our Penny Stock Picks Gained Over 3,000% In The Past Year! New Pick Just Released Tonight: bit.ly/1FksiYp $PCAR $CTAS $S $ODFL",Tue Sep 08 07:55:33 +0000 2015,false,false,13024,0,,"3 months, 2 days",en,Profile Page,
Cintas_Careers,Cintas_Careers,Cintas Strives to Improve Workplace Environment. bit.ly/1JRN8T7 #Safety #CintasJobs,Thu Sep 10 19:50:45 +0000 2015,false,false,284,84,"Cincinnati, OH",http://t.co/20GSEZGcqO,en,Profile Page,
SophieMcniffe,Sophie Mcniffe,"@OFFICEShoesHelp Do you know when the White Converse
Ctas Fancy trainers will have more sizes in stock? Thanks!",Fri Sep 11 21:08:35 +0000 2015,false,false,356,568,Bedford | Birmingham,"6 years, 4 months",en,Profile Page,
StockDawgzz,Stock Dawgzz,We Have Seen INCREDIBLE GAINS On Our Stock Picks Lately! See Our New Pick: goo.gl/Nukfef $PCAR $CTAS $S $ODFL,Sat Sep 12 01:41:33 +0000 2015,false,false,15760,1,,"5 months, 4 weeks",en,Profile Page,
Stockaholics,Stockaholics,"Our Stock Picks Have Gained Over 1,000% In 2 Months! See Our HUGE New Alert: bit.ly/1K6qUKg $PCAR $CTAS $S $ODFL",Sat Sep 12 01:42:07 +0000 2015,false,false,15143,8,,"1 years, 4 months",en,Profile Page,
StockRocketzz,Stock Rocket,Our Stock Alerts Are Seeing Huge Gains! Get Special Early Access To New Picks: tinyurl.com/ptw9sd9 $PCAR $CTAS $S $ODFL,Sat Sep 12 01:45:06 +0000 2015,false,false,14862,1,,"1 years, 4 months",en,Profile Page,
Stockenheimer1,StockenheimerSchmidt,Our Penny Stock Pick On $GEQU Saw Its Value Multiplied Nearly Ten Times In 2 Months! Huge News: ow.ly/RXClY $PCAR $CTAS $S $ODFL,Sat Sep 12 01:46:03 +0000 2015,false,false,5029,0,,"1 years, 4 months",en,Profile Page,
YamasutaTrader,Yamasuta,"$CTAS - BUY Signal at 85.76 on Sep 11, 15 By YaMasuta.com, Trading Signals Robot #stock #trading #trade #investing",Sat Sep 12 02:50:00 +0000 2015,false,false,122,4,FREE REGISTRATION,http://t.co/6rv8QoprWM,en,Profile Page,
