User,User Name,Tweet,Time,Following?,Follows?,Followers,Following,Location,Account Age,Website,Language,Profile Image
YamasutaTrader,Yamasuta,"$DUK - SELL Signal at 69.05 on Sep 01, 15 By YaMasuta.com, Trading Signals Robot #stock #trading #trade #investing",Thu Sep 03 05:20:00 +0000 2015,false,false,122,4,FREE REGISTRATION,http://t.co/6rv8QoprWM,en,Profile Page,
YamasutaTrader,Yamasuta,"$DUK - SELL Signal at 69.05 on Sep 01, 15 By YaMasuta.com, Trading Signals Robot #stock #trading #trade #investing",Thu Sep 03 18:20:13 +0000 2015,false,false,122,4,FREE REGISTRATION,http://t.co/6rv8QoprWM,en,Profile Page,
Emylers,Emylers,DUK Stock 68.13 Duke Energy Corp $DUK Hit a 52 week low of 68.02 Closing the day 10:45 at 68.13 -1.15 -1.66% W investorshangout.com/post/view?id=3…,Fri Sep 04 15:13:30 +0000 2015,false,false,430,499,,"1 years, 10 months",en,Profile Page,
YamasutaTrader,Yamasuta,"$DUK - SELL Signal at 69.05 on Sep 01, 15 By YaMasuta.com, Trading Signals Robot #stock #trading #trade #investing",Fri Sep 04 15:50:00 +0000 2015,false,false,122,4,FREE REGISTRATION,http://t.co/6rv8QoprWM,en,Profile Page,
SeekingAlpha,Seeking Alpha,How Friday's Jobs Report Affects Your Dividend Stock Portfolio seekingalpha.com/article/349145… $DUK $EPD $MLPS $TAN $WMT $XLP,Fri Sep 04 20:17:27 +0000 2015,false,false,78920,224,,http://t.co/VicXVZ0dsp,en,Profile Page,
SA_IncomeInvest,Income Investing SA,How Friday's Jobs Report Affects Your Dividend Stock Portfolio seekingalpha.com/article/349145… $DUK $EPD $MLPS $TAN $WMT $XLP,Fri Sep 04 20:17:28 +0000 2015,false,false,1280,32,,http://t.co/4tsvZLVbTC,en,Profile Page,
SA_FACTSET,Seeking Alpha,How Friday's Jobs Report Affects Your Dividend Stock Portfolio seekingalpha.com/article/349145… $DUK $EPD $MLPS $TAN $WMT $XLP,Fri Sep 04 20:17:28 +0000 2015,false,false,74,1,,"4 years, 10 months",en,Profile Page,
QP_Service,Quantpost Service,"$WMT News: ""How Friday's Jobs Report Affects Your Dividend Stock Portfolio $DUK …"" seekingalpha.com/article/349145…  Analyze: quantpost.com/views/?symbol=…",Fri Sep 04 20:17:28 +0000 2015,false,false,412,1268,,http://t.co/W5oSUYEVlb,en,Profile Page,
InvestWithConf,InvestWithConf,"$DUK is rated BUY, 16.6% upside by Wall Street analysts based on average ratings/targets manyratings.com/DUK pic.twitter.com/UHndMtyQVA",Sat Sep 05 01:58:02 +0000 2015,false,false,193,0,,"1 years, 6 months",en,Profile Page,
duk_udux,Jaminan MUTU,"Ready Stock Jersey Home Chelsea 2015 .
Replica .

Patch Gold Champions… instagram.com/p/7Pj4TaBVQYON…",Sat Sep 05 09:01:25 +0000 2015,false,false,366,270,Semarang Coret,"4 years, 4 weeks",id,Profile Page,
chartguy89,chartguy89,DUK -1.47% Stock Charts $DUK Duke Energy Corp. (NYSE) Last Updated: 09/07/2015 04:17:49 DUK Stock Chart - 1 Mo investorshangout.com/post/view?id=3…,Mon Sep 07 09:17:27 +0000 2015,false,false,1275,717,,"1 years, 8 months",en,Profile Page,
stock_forums,Stock Forums,"HED.TO Horizons BetaPro S&amp;P/TSX Capped Energy Bear Plus ETF Ideas
dlvr.it/C5JsTT

$HED.TO $FENR.L $DUK $ERY #HED.TO #invest…",Tue Sep 08 10:38:14 +0000 2015,false,false,4383,536,Investors Hangout,http://t.co/JkfatuqVnK,en,Profile Page,
IHNASDAQOMX,IH NASDAQ OMX,"PMCB PharmaCyte Biotech, Inc. Stock Forum
dlvr.it/C5K1zL

$PMCB $EWQ $DUK $EWG #PMCB #stockmarket #invest",Tue Sep 08 10:43:04 +0000 2015,false,false,585,500,,"1 years, 9 months",en,Profile Page,
InvestWithConf,InvestWithConf,"$DUK is rated BUY, 14.7% upside by Wall Street analysts based on average ratings/targets manyratings.com/DUK pic.twitter.com/1ZmO8IA2Rw",Tue Sep 08 22:57:02 +0000 2015,false,false,193,0,,"1 years, 6 months",en,Profile Page,
leahanneta,leahanne,"DUK Duke Energy Corp. Ask
dlvr.it/C5qFSn

$DUK $AT $CVX $NFLX #DUK #stock #invest",Wed Sep 09 09:36:23 +0000 2015,false,false,551,497,,"1 years, 10 months",en,Profile Page,
MyAlliesTrading,MyAllies Trading,$DUK Duke Energy Renewables more than doubles its North Carolina solar portfolio goo.gl/vNi2FM,Wed Sep 09 13:22:42 +0000 2015,false,false,191,0,,https://t.co/CXkUO1PIZA,en,Profile Page,
MyAlliesTrading,MyAllies Trading,"$DUK Duke Energy, U.S. government agree to end Clean Air Act litigation goo.gl/vNi2FM",Thu Sep 10 15:56:01 +0000 2015,false,false,191,0,,https://t.co/CXkUO1PIZA,en,Profile Page,
InvestWithConf,InvestWithConf,"$DUK is rated BUY, 16.3% upside by Wall Street analysts based on average ratings/targets manyratings.com/DUK pic.twitter.com/G7jiaLIdyg",Thu Sep 10 17:19:02 +0000 2015,false,false,193,0,,"1 years, 6 months",en,Profile Page,
NewsToDesk,BreakingStocksNews,"$DUK:

Stock Update – Duke Energy Corporation (NYSE:DUK):

StockNewsHour.com/duk-stock-upda…",Thu Sep 10 17:46:04 +0000 2015,false,false,407,0,U.S.,"1 years, 6 months",en,Profile Page,
IHNASDAQOMX,IH NASDAQ OMX,"DIS Walt Disney Co. Open
dlvr.it/C7HTFX

$DIS $EEM $GILD $DUK #DIS #stockmarket #stock",Sat Sep 12 01:37:10 +0000 2015,false,false,585,500,,"1 years, 9 months",en,Profile Page,
stock_forums,Stock Forums,"DIS Walt Disney Co. Open
dlvr.it/C7HVwY

$DIS $EEM $GILD $DUK #DIS #stockmarket #stockDJP iPath Bloomberg Commodity Index Total…",Sat Sep 12 01:38:10 +0000 2015,false,false,4383,536,Investors Hangout,http://t.co/JkfatuqVnK,en,Profile Page,
stock_forums,Stock Forums,"DIS Walt Disney Co. Open
dlvr.it/C7HSQb

$DIS $EEM $GILD $DUK #DIS #stockmarket #stockDJP iPath Bloomberg Commodity Index Total…",Sat Sep 12 01:38:12 +0000 2015,false,false,4383,536,Investors Hangout,http://t.co/JkfatuqVnK,en,Profile Page,
stock_forums,Stock Forums,"DIS Walt Disney Co. Open
dlvr.it/C7HWxK

$DIS $EEM $GILD $DUK #DIS #stockmarket #stockDJP iPath Bloomberg Commodity Index Total…",Sat Sep 12 01:38:14 +0000 2015,false,false,4383,536,Investors Hangout,http://t.co/JkfatuqVnK,en,Profile Page,
stock_forums,Stock Forums,"DIS Walt Disney Co. Open
dlvr.it/C7HcGQ

$DIS $EEM $GILD $DUK #DIS #stockmarket #stockDJP iPath Bloomberg Commodity Index Total…",Sat Sep 12 01:38:51 +0000 2015,false,false,4383,536,Investors Hangout,http://t.co/JkfatuqVnK,en,Profile Page,
