User,User Name,Tweet,Time,Following?,Follows?,Followers,Following,Location,Account Age,Website,Language,Profile Image
stock_forums,Stock Forums,"FV First Trust Dorsey Wright Focus 5 ETF Ex-Div Date
dlvr.it/C6pDKk

$FV $OIL $CTLE $SDS #FV #stocks #invest",Fri Sep 11 04:40:09 +0000 2015,false,false,4383,536,Investors Hangout,http://t.co/JkfatuqVnK,en,Profile Page,
Stock_Tracker1,Stock_Tracker,"FV First Trust Dorsey Wright Focus 5 ETF Dividend
dlvr.it/C6pKtn

$FV $ABX $CELG $JPM #FV #stocks #share",Fri Sep 11 04:41:34 +0000 2015,false,false,1483,496,,"1 years, 10 months",en,Profile Page,
Stock_Tracker1,Stock_Tracker,"FV First Trust Dorsey Wright Focus 5 ETF Message Board Posts
dlvr.it/C6pQJ6

$FV $TWTR $BLX.TO $COST #FV #nasdaq #stock",Fri Sep 11 04:41:35 +0000 2015,false,false,1483,496,,"1 years, 10 months",en,Profile Page,
Stock_Tracker1,Stock_Tracker,"FV First Trust Dorsey Wright Focus 5 ETF Quotes
dlvr.it/C6pJkG

$FV $CVX $SLV $ICN #FV #tradeideas #invest",Fri Sep 11 04:41:36 +0000 2015,false,false,1483,496,,"1 years, 10 months",en,Profile Page,
Stock_Tracker1,Stock_Tracker,"FV First Trust Dorsey Wright Focus 5 ETF News
dlvr.it/C6pLnn

$FV $RSX $EA $TSO #FV #pennystocks #stockmarket",Fri Sep 11 04:41:36 +0000 2015,false,false,1483,496,,"1 years, 10 months",en,Profile Page,
Stock_Tracker1,Stock_Tracker,"VXX iPath S&amp;P 500 VIX Short-Term Futures ETN Day High
dlvr.it/C6pZG2

$VXX $CPG.TO $CANN $FV #VXX #pennystocks #nasdaq",Fri Sep 11 04:53:14 +0000 2015,false,false,1483,496,,"1 years, 10 months",en,Profile Page,
som50579,Somanath,"Stock_Tracker1 : FV First Trust Dorsey Wright Focus 5 ETF Investor Opinions
… twitter.com/Stock_Tracker1…) pic.twitter.com/5aRKrixX5G",Fri Sep 11 05:39:48 +0000 2015,false,false,908,354,Mumbai,"3 years, 5 months",en,Profile Page,
PolgarStocks,PolgarStocks,"FV First Trust Dorsey Wright Focus 5 ETF News
dlvr.it/C6qwZK

$FV $CAL.L $EWS $FXE #FV #stock #pennystocks",Fri Sep 11 06:38:08 +0000 2015,false,false,806,497,,"2 years, 2 days",en,Profile Page,
PolgarStocks,PolgarStocks,"PM Philip Morris Intl Inc. P/E Ratio
dlvr.it/C6sV5R

$PM $XOM $FV $TMUS #PM #stock #stockmarket",Fri Sep 11 07:43:06 +0000 2015,false,false,806,497,,"2 years, 2 days",en,Profile Page,
Emylers,Emylers,"AAL American Airlines Group Inc. Stock Forum
dlvr.it/C6y528

$AAL $PMCB $SCHO $FV #AAL #invest #stocks",Fri Sep 11 10:31:07 +0000 2015,false,false,430,499,,"1 years, 10 months",en,Profile Page,
Stock_Tracker1,Stock_Tracker,"DRV Direxion Daily Real Estate Bear 3x Shares Short Sales
dlvr.it/C6yDXQ

$DRV $UGA $FV $FMCCI #DRV #investing #stockmarket",Fri Sep 11 10:37:05 +0000 2015,false,false,1483,496,,"1 years, 10 months",en,Profile Page,
IHPosts,Investors Hangout,"FV First Trust Dorsey Wright Focus 5 ETF Stock Message Board
dlvr.it/C6yDb7

$FV $ESPR $LPI $GNCA #FV #nasdaq #investing",Fri Sep 11 10:37:18 +0000 2015,false,false,3159,2022,Las Vegas,http://t.co/iooOMkelYs,en,Profile Page,
IHPosts2,Investors Hangout,"FV First Trust Dorsey Wright Focus 5 ETF Short Sales
dlvr.it/C6yDk8

$FV $AVGO $DPK $GMCR #FV #invest #stock",Fri Sep 11 10:38:11 +0000 2015,false,false,13150,471,,"1 years, 2 months",en,Profile Page,
lookn4wins,lookn4wins,"GOOGL Google Inc. - Class A Last Price
dlvr.it/C6yGwB

$GOOGL $XLI $VIAB $FV #GOOGL #stocks #stock",Fri Sep 11 10:38:37 +0000 2015,false,false,982,495,,"1 years, 10 months",en,Profile Page,
lookn4wins,lookn4wins,"NFLX Netflix, Inc. Exchange
dlvr.it/C6yKzk

$NFLX $SHY $TWTR $FV #NFLX #finance #stock",Fri Sep 11 10:42:37 +0000 2015,false,false,982,495,,"1 years, 10 months",en,Profile Page,
stock_forums,Stock Forums,"RXMD Progressive Care, Inc. Shares
dlvr.it/C6yZPG

$RXMD $EZCH $FV $GS #RXMD #stock #share",Fri Sep 11 10:44:34 +0000 2015,false,false,4383,536,Investors Hangout,http://t.co/JkfatuqVnK,en,Profile Page,
DennyT14,DennyT,"TE Teco Energy, Inc. Bid Size
dlvr.it/C6yV7d

$TE $GOOGL $RUSL $FV #TE #stockmarket #stock",Fri Sep 11 10:47:36 +0000 2015,false,false,769,895,,"1 years, 8 months",en,Profile Page,
1LuckyJimmy,Lucky Jimmy,"USO United States Oil Fund, LP Ideas
dlvr.it/C6yYdH

$USO $FV $ICN $CSIQ #USO #nasdaq #stock",Fri Sep 11 10:48:06 +0000 2015,false,false,447,492,IH,http://t.co/b6HCTM0G2l,en,Profile Page,
Jim5011,jim50,"BWLD Buffalo Wild Wings Inc. Day Low
dlvr.it/C6zbxP

$BWLD $CVC $QTMM $FV #BWLD #invest #stock",Fri Sep 11 11:33:09 +0000 2015,false,false,524,495,,"1 years, 10 months",en,Profile Page,
lookn4wins,lookn4wins,"FV First Trust Dorsey Wright Focus 5 ETF Bid Size
dlvr.it/C6zlVY

$FV $SPEX $WMIH $GOLD #FV #finance #stock",Fri Sep 11 11:38:36 +0000 2015,false,false,982,495,,"1 years, 10 months",en,Profile Page,
lookn4wins,lookn4wins,"AGN Allergan plc Day Low
dlvr.it/C72RKh

$AGN $FV $GOOG $GS #AGN #share #stock",Fri Sep 11 13:31:31 +0000 2015,false,false,982,495,,"1 years, 10 months",en,Profile Page,
rosnerstocks,Rosner Stocks,"FV First Trust Dorsey Wright Focus 5 ETF Short Sales
dlvr.it/C72bX3

$FV $XOM $TPAC $RRS.L #FV #stockmarket #stock",Fri Sep 11 13:35:33 +0000 2015,false,false,964,144,Investors Hangout,http://t.co/PLaIJQnyya,en,Profile Page,
PolgarStocks,PolgarStocks,"FV First Trust Dorsey Wright Focus 5 ETF % Change
dlvr.it/C72ddG

$FV $KGC $AAPL $VXX #FV #stock #pennystocks",Fri Sep 11 13:35:48 +0000 2015,false,false,806,497,,"2 years, 2 days",en,Profile Page,
IHNASDAQOMX,IH NASDAQ OMX,"FV First Trust Dorsey Wright Focus 5 ETF Day High
dlvr.it/C72jwY

$FV $UNH $IGR $DHI #FV #pennystocks #stock",Fri Sep 11 13:36:04 +0000 2015,false,false,585,500,,"1 years, 9 months",en,Profile Page,
clayton_dd,clayton,"JPM J.P. Morgan Chase &amp; Co. Exchange
dlvr.it/C72mpS

$JPM $AKS $PMCB $FV #JPM #stocks #stock",Fri Sep 11 13:39:37 +0000 2015,false,false,601,490,,"1 years, 10 months",en,Profile Page,
stock_forums,Stock Forums,"ATD/B.TO Alimentation Couche-Tard, Inc. Bid
dlvr.it/C76SgK

$ATD/B.TO $FV $EEM $ABX #ATD/B.TO #investing #finance",Fri Sep 11 16:32:13 +0000 2015,false,false,4383,536,Investors Hangout,http://t.co/JkfatuqVnK,en,Profile Page,
IHPosts,Investors Hangout,"FV First Trust Dorsey Wright Focus 5 ETF Stock Forum
dlvr.it/C76YPN

$FV $_SPY $SOXL $UWTI #FV #tradeideas #stockmarket",Fri Sep 11 16:37:10 +0000 2015,false,false,3159,2022,Las Vegas,http://t.co/iooOMkelYs,en,Profile Page,
IHNASDAQOMX,IH NASDAQ OMX,"FV First Trust Dorsey Wright Focus 5 ETF Message Board Posts
dlvr.it/C76WYZ

$FV $CVX $CVX $BAC #FV #nasdaq #stock",Fri Sep 11 16:37:11 +0000 2015,false,false,585,500,,"1 years, 9 months",en,Profile Page,
som50579,Somanath,"IHPosts : FV First Trust Dorsey Wright Focus 5 ETF Stock Forum
dlvr.it/C76YPN

$… twitter.com/IHPosts/status…) pic.twitter.com/qDQbN27cG7",Fri Sep 11 16:38:50 +0000 2015,false,false,908,354,Mumbai,"3 years, 5 months",en,Profile Page,
stock_forums,Stock Forums,"SH ProShares Short S&amp;P 500 Fund Exchange
dlvr.it/C76qQD

$SH $FV $G.TO $TVIX #SH #stockmarket #pennystocks",Fri Sep 11 16:45:11 +0000 2015,false,false,4383,536,Investors Hangout,http://t.co/JkfatuqVnK,en,Profile Page,
Emylers,Emylers,"SVXY ProShares Short VIX Short-Term Futures ETF Filings
dlvr.it/C76kLk

$SVXY $CTLE $FV $EUM #SVXY #stocks #stock",Fri Sep 11 16:48:04 +0000 2015,false,false,430,499,,"1 years, 10 months",en,Profile Page,
stock_forums,Stock Forums,"UNP Union Pacific Corp. 52Wk High
dlvr.it/C76lz8

$UNP $HOD.TO $ASTI $FV #UNP #share #invest",Fri Sep 11 16:48:05 +0000 2015,false,false,4383,536,Investors Hangout,http://t.co/JkfatuqVnK,en,Profile Page,
Stock_Tracker1,Stock_Tracker,"TVIX VelocityShares Daily 2x VIX Short Term ETN 52Wk High
dlvr.it/C76lbT

$TVIX $FV $QLD $FEYE #TVIX #stocks #share",Fri Sep 11 16:49:19 +0000 2015,false,false,1483,496,,"1 years, 10 months",en,Profile Page,
PolgarStocks,PolgarStocks,"FV First Trust Dorsey Wright Focus 5 ETF Stock Message Board
dlvr.it/C79y5W

$FV $ATD/B.TO $IBB $COMM #FV #tradeideas #stocks",Fri Sep 11 19:36:35 +0000 2015,false,false,806,497,,"2 years, 2 days",en,Profile Page,
nasdaqfan,nasdaqfan,"FV First Trust Dorsey Wright Focus 5 ETF Dividend
dlvr.it/C7B4lD

$FV $PRW.TO $HGU.TO $SPXS #FV #pennystocks #stock",Fri Sep 11 19:41:06 +0000 2015,false,false,529,497,,"1 years, 9 months",en,Profile Page,
Jake132013,Jake13,"MBLY Mobileye NV Bid Size
dlvr.it/C7B4w7

$MBLY $FV $GENE $CLDX #MBLY #nasdaq #stock",Fri Sep 11 19:41:34 +0000 2015,false,false,701,489,,"1 years, 10 months",en,Profile Page,
Stock_Tracker1,Stock_Tracker,"ADN.TO Acadian Timber Corp. Last Trade
dlvr.it/C7DljB

$ADN.TO $AMD $JPM $FV #ADN.TO #stock #finance",Fri Sep 11 22:32:15 +0000 2015,false,false,1483,496,,"1 years, 10 months",en,Profile Page,
nasdaqfan,nasdaqfan,"FV First Trust Dorsey Wright Focus 5 ETF Ask
dlvr.it/C7DyZC

$FV $DAG $COST $GDXJ #FV #tradeideas #stock",Fri Sep 11 22:38:37 +0000 2015,false,false,529,497,,"1 years, 9 months",en,Profile Page,
stock_forums,Stock Forums,"FV First Trust Dorsey Wright Focus 5 ETF Last Price
dlvr.it/C7DxsJ

$FV $GM $TZA $EXPD #FV #stocks #stocks",Fri Sep 11 22:39:05 +0000 2015,false,false,4383,536,Investors Hangout,http://t.co/JkfatuqVnK,en,Profile Page,
som50579,Somanath,"Stock_Tracker1 : FV First Trust Dorsey Wright Focus 5 ETF Stock Forum
… twitter.com/Stock_Tracker1…) pic.twitter.com/5FleYEx1DN",Fri Sep 11 22:43:30 +0000 2015,false,false,908,354,Mumbai,"3 years, 5 months",en,Profile Page,
danrocks4,danrocks,"FV First Trust Dorsey Wright Focus 5 ETF Message Board Posts
dlvr.it/C7F3wr

$FV $GOOG $SXP.TO $UPRO #FV #stock #pennystocks",Fri Sep 11 22:44:19 +0000 2015,false,false,714,499,,"1 years, 10 months",en,Profile Page,
