User,User Name,Tweet,Time,Following?,Follows?,Followers,Following,Location,Account Age,Website,Language,Profile Image
SarahMoore202,Sarah Moore,Holx Stock Quote Hologic Inc. Stock Price Today Holx Nasdaq … : thebingbing.com/fortune/824645 .,Thu Sep 03 11:25:15 +0000 2015,false,false,4718,4855,,"2 months, 3 weeks",en,Profile Page,
TradrBot,Trader Bot,"Hologic, Inc. (HOLX) rated Equal Weight with price target $40 by Barclays dlvr.it/C32lrd #HOLX",Thu Sep 03 13:26:08 +0000 2015,false,false,1602,1228,,"3 years, 4 months",en,Profile Page,
WKRBNews,WKRB News,"Hologic Director Sells $442,496.20 in Stock $HOLX ift.tt/1hD1Zas",Thu Sep 03 14:06:59 +0000 2015,false,false,446,8,,http://t.co/NYpmdUJnIe,en,Profile Page,
Allstocknews,$Stocknewsalerts,"$HOLX Stock Quote Alert for Hologic Inc. (NASDAQ:HOLX)
From our Stock News Alerts App",Thu Sep 03 21:02:06 +0000 2015,false,false,793,10,,https://t.co/PQSytGvcf6,en,Profile Page,
InvestWorldNews,Invest World News,"Insider Selling: Hologic Director Wayne Wilson Sells 25,080 Shares of Stock (HOLX) investmentworldnews.com/2015/08/28/ins…",Fri Sep 04 00:24:07 +0000 2015,false,false,240,32,,http://t.co/ZnYWLOlGCA,en-gb,Profile Page,
Allstocknews,$Stocknewsalerts,"$HOLX Stock Quote Alert for Hologic Inc. (NASDAQ:HOLX)
From our Stock News Alerts App",Fri Sep 04 21:02:54 +0000 2015,false,false,793,10,,https://t.co/PQSytGvcf6,en,Profile Page,
InvestWithConf,InvestWithConf,"$HOLX is rated BUY, 10.9% upside by Wall Street analysts based on average ratings/targets manyratings.com/HOLX pic.twitter.com/5upGGBuUrp",Sat Sep 05 00:11:03 +0000 2015,false,false,193,0,,"1 years, 6 months",en,Profile Page,
chartguy89,chartguy89,HOLX +0.26% Stock Charts $HOLX Hologic Inc. (NASDAQ) Last Updated: 09/06/2015 13:54:21 HOLX Stock Chart - 1 Mo investorshangout.com/post/view?id=3…,Sun Sep 06 18:53:59 +0000 2015,false,false,1275,717,,"1 years, 8 months",en,Profile Page,
Allstocknews,$Stocknewsalerts,"$HOLX Stock Quote Alert for Hologic Inc. (NASDAQ:HOLX)
From our Stock News Alerts App",Tue Sep 08 21:03:09 +0000 2015,false,false,793,10,,https://t.co/PQSytGvcf6,en,Profile Page,
Allstocknews,$Stocknewsalerts,"$HOLX Stock Quote Alert for Hologic Inc. (NASDAQ:HOLX)
From our Stock News Alerts App",Wed Sep 09 21:03:07 +0000 2015,false,false,793,10,,https://t.co/PQSytGvcf6,en,Profile Page,
Allstocknews,$Stocknewsalerts,"$HOLX New SEC Filing for Hologic Inc. (NASDAQ:HOLX)
From our Stock News Alerts App",Wed Sep 09 22:35:21 +0000 2015,false,false,793,10,,https://t.co/PQSytGvcf6,en,Profile Page,
MosaicGuys,Mosaic Art Designers,"Insider Selling: Wayne Wilson Sells 100,000 Shares of Hologic Stock (HOLX): Hologic (NASDAQ… goo.gl/fb/mxOpAZ",Thu Sep 10 11:56:49 +0000 2015,false,false,124,37,,"1 years, 5 months",de,Profile Page,
Allstocknews,$Stocknewsalerts,"$HOLX Stock Quote Alert for Hologic Inc. (NASDAQ:HOLX)
From our Stock News Alerts App",Thu Sep 10 21:02:27 +0000 2015,false,false,793,10,,https://t.co/PQSytGvcf6,en,Profile Page,
InvestWithConf,InvestWithConf,"$HOLX is rated BUY, 8.5% upside by Wall Street analysts based on average ratings/targets manyratings.com/HOLX pic.twitter.com/gPEZNDIHWq",Thu Sep 10 22:03:03 +0000 2015,false,false,193,0,,"1 years, 6 months",en,Profile Page,
mideasttimenews,Mideast Time,"Insider Selling: Hologic Director Sells $3,900,000.00 in Stock (HOLX) ift.tt/1geAgvC",Fri Sep 11 11:52:37 +0000 2015,false,false,231,10,,"1 years, 7 months",en,Profile Page,
Alexability,Alexandria,Worst sentiment for SP1500 stocks at midday: $UTHR $WDC $IBKR $HOLX $BIO (2015/09/11) #sentiment #stock #alexandria,Fri Sep 11 17:00:01 +0000 2015,false,false,34,28,Los Angeles,http://t.co/TtrCiERJXM,en,Profile Page,
firsttomarkets,FirstToMarkets,Hologic Inc.  Reiterated Rating by William Blair (Ranked 36th) to Outperform $HOLX #HOLX firsttomarkets.com/analytics/stoc…,Fri Sep 11 17:30:12 +0000 2015,false,false,137,39,,http://t.co/pvYJ4srUXZ,en,Profile Page,
Alexability,Alexandria,Worst sentiment for SP1500 stocks at market close: $UTHR $WDC $IBKR $HOLX $BIO (2015/09/11) #sentiment #stock #alexandria,Fri Sep 11 20:00:01 +0000 2015,false,false,34,28,Los Angeles,http://t.co/TtrCiERJXM,en,Profile Page,
Allstocknews,$Stocknewsalerts,"$HOLX Stock Quote Alert for Hologic Inc. (NASDAQ:HOLX)
From our Stock News Alerts App",Fri Sep 11 21:04:22 +0000 2015,false,false,793,10,,https://t.co/PQSytGvcf6,en,Profile Page,
