User,User Name,Tweet,Time,Following?,Follows?,Followers,Following,Location,Account Age,Website,Language,Profile Image
EstimizeNotify,Estimize,@Marc_AGomez $IGTE is reporting earnings for Q2 2015 on 09/08/15 – estimize.com/igte/fq2-2015,Fri Sep 04 15:05:53 +0000 2015,false,false,246,0,"New York, NY",http://t.co/snwtNP5nGX,en,Profile Page,
DailyContracts,Daily Contracts,"Real-Time feed of company contracts, original agreements and executive updates from $IGTE lawinsider.com/company/102473…",Fri Sep 04 15:19:03 +0000 2015,false,false,604,17,,"1 years, 8 months",en,Profile Page,
DailyContracts,Daily Contracts,"Real-Time feed of company contracts, original agreements and executive updates from $IGTE lawinsider.com/company/102473…",Fri Sep 04 19:50:04 +0000 2015,false,false,604,17,,"1 years, 8 months",en,Profile Page,
jacquelineoross,Jacqueline O. Ross,RT shutter_se7en: Fishing this morning. #wearejuxt #wearegrryo #grryo  #myotherlife #fishing #bayou #igofhou #igte… instagram.com/p/7O0FaohSEJ/,Sat Sep 05 02:18:11 +0000 2015,false,false,357,108,"Destin, FL",http://t.co/CywucnYCNh,en,Profile Page,
DFW_ALERTS,DFW_Alerts CAC,"Sunset at my RV Park! 😎
#weather #texasweather #texas #collegestation #cstat #aggieland #txwx #txig #texas_ig #igte… pic.twitter.com/V9q5uegen2",Tue Sep 08 01:17:52 +0000 2015,false,false,5066,2376,DFW Metroplex ,http://t.co/988dV55km7,en,Profile Page,
TXI35thm,The Highway Monitor,"RT @DFW_ALERTS: Sunset at my RV Park! 😎
#weather #texasweather #texas #collegestation #cstat #aggieland #txwx #txig #texas_ig #igte… http:/pic.twitter.com/V9q5uegen2",Tue Sep 08 01:27:07 +0000 2015,false,false,480,247,,http://t.co/VhiSwDWJu9,en,Profile Page,
DFW_AlertsCWC,DFW Alerts CWC,"RT @DFW_ALERTS: Sunset at my RV Park! 😎
#weather #texasweather #texas #collegestation #cstat #aggieland #txwx #txig #texas_ig #igte… http:/pic.twitter.com/V9q5uegen2",Tue Sep 08 01:29:23 +0000 2015,false,false,239,123,DFW,http://t.co/XL5XDFOF1K,en,Profile Page,
stocksecret99,Penny Stock Secret,"$71,000 in ONE TRADE!! By Follwing Their Signals More Info Here PennyStockSecret.com .. $BLKB $IGTE $SFBC",Wed Sep 09 01:20:22 +0000 2015,false,false,2784,3,USA,http://t.co/blAhlh6veL,en,Profile Page,
NuCreativTalent,NU Creative Talent,"Senior Account Manager | Design, London, Up to £39k + benefits:  #jobs ffi.sh/igTe",Wed Sep 09 16:05:46 +0000 2015,false,false,2777,522,"London, England",http://t.co/cQNGUOYrzB,en,Profile Page,
Chaos33176,Chaos of Grind Mode,Just posted a video instagram.com/p/7f4OH-IgTE/,Fri Sep 11 17:07:06 +0000 2015,false,false,6607,784,"South Dade, Florida",http://t.co/kR5TRAfHfr,en,Profile Page,
