User,User Name,Tweet,Time,Following?,Follows?,Followers,Following,Location,Account Age,Website,Language,Profile Image
existenciala,Victoria,"“@MoValAnimalShel: White and tan Pit Bull Terrier mix.
Female 4 years old.  #A454708
PetHarbor.com/pet.asp?uaid=M…”",Sat Sep 12 00:06:15 +0000 2015,false,false,4018,3663,♥,"5 years, 3 months",es,Profile Page,
existenciala,Victoria,"“@MoValAnimalShel: Brown Boxer mix.
Neutered male 8 years old.  #A454707
PetHarbor.com/pet.asp?uaid=M…”",Sat Sep 12 00:06:18 +0000 2015,false,false,4018,3663,♥,"5 years, 3 months",es,Profile Page,
existenciala,Victoria,"“@MoValAnimalShel: White Poodle - Miniature mix.
Male 2 years.  #A454705
PetHarbor.com/pet.asp?uaid=M…”",Sat Sep 12 00:06:22 +0000 2015,false,false,4018,3663,♥,"5 years, 3 months",es,Profile Page,
kijun10kan,Kijun Tenkan,RT @ThudderWicks: $MRVL accounting problems may start at the very top goo.gl/CJO7bD,Sat Sep 12 00:08:49 +0000 2015,false,false,223,114,,"1 years, 3 months",en,Profile Page,
MoneyNews24h,Money News 24h,"ift.tt/1M2WJao PBR, MFRM and MRVL stock finished the week on a (very) low note bit.ly/1Iq9Z8U",Sat Sep 12 00:12:49 +0000 2015,false,false,332,39,United States,https://t.co/Nod7TAPXpE,en,Profile Page,
MoneyNews24h,Money News 24h,"ift.tt/1NuD6eH PBR, MFRM and MRVL stock finished the week on a (very) low note bit.ly/1Iq9Z8U",Sat Sep 12 00:13:00 +0000 2015,false,false,332,39,United States,https://t.co/Nod7TAPXpE,en,Profile Page,
newswithvalue,Breaking News Now,"$MRVL:

GPM Files Securities Class Action Lawsuit Against Marvell …:

StockNewsHour.com/mrvl-gpm-files…",Sat Sep 12 00:14:02 +0000 2015,false,false,379,0,,"1 years, 6 months",en,Profile Page,
leahanneta,leahanne,"FCX F5 Networks, Inc. Day High
dlvr.it/C7GfY3

$FCX $TTT $URTY $MRVL #FCX #investing #stocks",Sat Sep 12 00:36:05 +0000 2015,false,false,551,497,,"1 years, 10 months",en,Profile Page,
Randall7575,Randall Steinmeyer,Investigating potential securities claims on behalf of holders of #Marvel (NASDAQ: $MRVL via @steinmeyerlaw twitter.com/StockTwits/sta…,Sat Sep 12 00:58:03 +0000 2015,false,false,894,1624,"usa, uk and eu","1 years, 5 months",en,Profile Page,
StockNewsWires,StockNewsWires,"$MRVL:

Marvell Technology Plunges on Accounting Probe, RealNetworks …:

StockNewsHour.com/mrvl-marvell-t…",Sat Sep 12 01:02:01 +0000 2015,false,false,572,9,United States,"1 years, 6 months",en,Profile Page,
