User,User Name,Tweet,Time,Following?,Follows?,Followers,Following,Location,Account Age,Website,Language,Profile Image
TheStockGuyz,Michael James,Our Penny Stock Alert On $GEQU Is Up 614.29% For Our Subscribers! Check Out Our New Pick: tinyurl.com/q6s7gjb $TLM $GTE $FDX,Fri Sep 04 17:11:23 +0000 2015,false,false,23104,0,,"2 months, 4 weeks",en,Profile Page,
StockDawgzz,Stock Dawgzz,MASSIVE Gains On Penny Stock Picks And The Next Major Pick Is This Week! Big News: goo.gl/UCs3AK $FDX $CIM $JOE,Fri Sep 04 17:25:55 +0000 2015,false,false,15760,1,,"5 months, 4 weeks",en,Profile Page,
Stockaholics,Stockaholics,"After Nearly 500% Gains In 2 Months On Stock Alerts, We Have A New Pick Ready! Check It Out: bit.ly/1NTUlFp $FDX $CIM $JOE",Fri Sep 04 17:27:49 +0000 2015,false,false,15143,8,,"1 years, 4 months",en,Profile Page,
Stockenheimer1,StockenheimerSchmidt,Our Stock Alert On $GEQU More Than QUINTUPLED In 2 Months! See Our Next Big Pick: ow.ly/RC9kv $FDX $CIM $JOE,Fri Sep 04 17:29:56 +0000 2015,false,false,5029,0,,"1 years, 4 months",en,Profile Page,
InvestWithConf,InvestWithConf,"$FDX is rated BUY, 31.4% upside by Wall Street analysts based on average ratings/targets manyratings.com/FDX pic.twitter.com/tvrK5mn1Hv",Fri Sep 04 23:05:02 +0000 2015,false,false,192,0,,"1 years, 6 months",en,Profile Page,
StockDawgzz,Stock Dawgzz,MASSIVE Gains On Penny Stock Picks And The Next Major Pick Is This Week! Big News: goo.gl/UCs3AK $TLM $GTE $FDX,Sat Sep 05 17:02:32 +0000 2015,false,false,15760,1,,"5 months, 4 weeks",en,Profile Page,
Stockaholics,Stockaholics,"After Nearly 500% Gains In 2 Months On Stock Alerts, We Have A New Pick Ready! Check It Out: bit.ly/1NTUlFp $TLM $GTE $FDX",Sat Sep 05 17:03:52 +0000 2015,false,false,15143,8,,"1 years, 4 months",en,Profile Page,
Stockenheimer1,StockenheimerSchmidt,Our Stock Alert On $GEQU More Than QUINTUPLED In 2 Months! See Our Next Big Pick: ow.ly/RC9kv $TLM $GTE $FDX,Sat Sep 05 17:05:16 +0000 2015,false,false,5029,0,,"1 years, 4 months",en,Profile Page,
InvestWithConf,InvestWithConf,"$FDX is rated BUY, 32.0% upside by Wall Street analysts based on average ratings/targets manyratings.com/FDX pic.twitter.com/i3xQYwhUhu",Sun Sep 06 02:54:03 +0000 2015,false,false,192,0,,"1 years, 6 months",en,Profile Page,
chartguy89,chartguy89,FDX -1.72% Stock Charts $FDX FedEx Corp. (NYSE) Last Updated: 09/07/2015 04:33:03 FDX Stock Chart - 1 Month ht investorshangout.com/post/view?id=3…,Mon Sep 07 09:32:40 +0000 2015,false,false,1274,717,,"1 years, 8 months",en,Profile Page,
