User,User Name,Tweet,Time,Following?,Follows?,Followers,Following,Location,Account Age,Website,Language,Profile Image
life_watt,About cat welfare 猫,RT @ProfitTradeRoom: Biggest Losers of stock market today $FORD $BEBE $ARO $VMEM $DWTI $JDST $SCO $RGS $DUST $YINN $GME $OVAS $SNMX $CRK htpic.twitter.com/RTUQducrG6,Thu Sep 03 00:14:31 +0000 2015,false,false,4371,4553,日本国　樺太　コルサコフ（大泊）Japan     Корсаков  Korsakov　     ＃猫のためのカフェＰ,"5 years, 8 months",en,Profile Page,
USEquityMarket1,US Equity Markets,"Whats Hot Today: OvaScience, Inc. (NASDAQ:OVAS), United States Steel Corp ... - Stock Transcript dlvr.it/C2prV8",Thu Sep 03 05:28:34 +0000 2015,false,false,6271,7177,,"3 years, 2 months",en,Profile Page,
livetradepro,Scott Smith,Averaging down may sound good (to help you to feel better temporarily) BUT  Example of how we trade(d) $OVAS stks.co/c2V1V $STUDY,Thu Sep 03 20:54:50 +0000 2015,false,false,1863,36,,http://t.co/yCPa6ZW5V7,en,Profile Page,
Stock_Tracker1,Stock_Tracker,"HYG iShares iBoxx High Yield Corporate Bond Fund Current Price
dlvr.it/C3Hf7f

$HYG $UNG $OVAS $EWH #HYG #investing #stock",Fri Sep 04 01:39:09 +0000 2015,false,false,1482,496,,"1 years, 10 months",en,Profile Page,
Stock_Tracker1,Stock_Tracker,"JPM J.P. Morgan Chase &amp; Co. Ask Size
dlvr.it/C3HYhm

$JPM $OVAS $SUNE $AA #JPM #share #finance",Fri Sep 04 01:42:12 +0000 2015,false,false,1482,496,,"1 years, 10 months",en,Profile Page,
IHNewsDesk,IH News Desk,"MO Altria Group Inc. Quotes
dlvr.it/C3Hhp4

$MO $ATD/B.TO $KR $OVAS #MO #nasdaq #stock",Fri Sep 04 01:42:35 +0000 2015,false,false,727,502,,"1 years, 9 months",en,Profile Page,
Jim5011,jim50,"OVAS OvaScience Inc. Stock Forum
dlvr.it/C3HjVz

$OVAS $KGC $FXA $FCX #OVAS #stock #share",Fri Sep 04 01:43:05 +0000 2015,false,false,524,495,,"1 years, 10 months",en,Profile Page,
nasdaqfan,nasdaqfan,"OVAS OvaScience Inc. E.P.S.
dlvr.it/C3HmT6

$OVAS $BIB $MDY $TCK #OVAS #stock #investing",Fri Sep 04 01:43:34 +0000 2015,false,false,529,497,,"1 years, 9 months",en,Profile Page,
stock_forums,Stock Forums,"YRI.TO Yamana Gold Inc. Ideas
dlvr.it/C3Hlsx

$YRI.TO $SCO $OVAS $LOCK #YRI.TO #nasdaq #investing",Fri Sep 04 01:49:34 +0000 2015,false,false,4383,536,Investors Hangout,http://t.co/JkfatuqVnK,en,Profile Page,
chartguy89,chartguy89,OVAS +3.80% Stock Charts $OVAS Ovascience Inc. (NASDAQ) Last Updated: 09/06/2015 15:26:48 OVAS Stock Chart - 1 investorshangout.com/post/view?id=3…,Sun Sep 06 20:26:27 +0000 2015,false,false,1274,717,,"1 years, 8 months",en,Profile Page,
InvestWithConf,InvestWithConf,"$OVAS is rated BUY, 249.3% upside by Wall Street analysts based on average ratings/targets manyratings.com/OVAS pic.twitter.com/RET3qWqTkD",Tue Sep 08 15:30:02 +0000 2015,false,false,192,0,,"1 years, 6 months",en,Profile Page,
RedSquare27,Brian Lobman,"RT @InvestWithConf: $OVAS is rated BUY, 249.3% upside by Wall Street analysts based on average ratings/targets manyratings.com/OVAS http:pic.twitter.com/RET3qWqTkD",Tue Sep 08 19:41:34 +0000 2015,false,false,191,563,Brooklyn NY,"4 years, 5 months",en,Profile Page,
firsttomarkets,FirstToMarkets,"OvaScience, Inc.  Reiterated Rating by Wedbush Morgan (Ranked 58th) to Outperform with 46 PT $OVAS #OVAS firsttomarkets.com/analytics/stoc…",Tue Sep 08 20:45:05 +0000 2015,false,false,137,39,,http://t.co/pvYJ4srUXZ,en,Profile Page,
JustBuyTheDip,JustBuyTheDip,"News, stock price chart, and investor sentiment for OVAS buythedip.com/OVAS.html",Thu Sep 10 09:13:04 +0000 2015,false,false,1,5,,"10 months, 1 weeks",en,Profile Page,
InvestWithConf,InvestWithConf,"$OVAS is rated BUY, 263.5% upside by Wall Street analysts based on average ratings/targets manyratings.com/OVAS pic.twitter.com/1IJoFVDe8H",Thu Sep 10 15:18:02 +0000 2015,false,false,192,0,,"1 years, 6 months",en,Profile Page,
dakotafinancial,Dakota Financial ,"OvaScience Director Purchases $52,800.00 in Stock $OVAS ift.tt/1iguPyi",Thu Sep 10 16:24:35 +0000 2015,false,false,990,40,,"8 months, 4 weeks",en,Profile Page,
TickerReport,Ticker Report,"OvaScience Director Purchases $52,800.00 in Stock $OVAS ift.tt/1Q41lho",Thu Sep 10 16:27:10 +0000 2015,false,false,717,11,Virginia,"1 years, 10 months",en,Profile Page,
AmConsumerNews,Consumer News,"OvaScience Director Purchases $52,800.00 in Stock $OVAS ift.tt/1LmjBPt #acn",Thu Sep 10 16:28:00 +0000 2015,false,false,984,1413,"Sioux Falls, SD",http://t.co/odTc3pvcAe,en,Profile Page,
AmericanBanking,US Banking News,"OvaScience Director Purchases $52,800.00 in Stock $OVAS ift.tt/1Q41lho",Thu Sep 10 16:40:43 +0000 2015,false,false,5415,2313,"Sioux Falls, SD",http://t.co/7EZswS49Q1,en,Profile Page,
adamwnsx,Adamwnsx,"RT @AmericanBanking: OvaScience Director Purchases $52,800.00 in Stock $OVAS ift.tt/1Q41lho",Thu Sep 10 21:17:39 +0000 2015,false,false,286,254,,"3 years, 4 months",en,Profile Page,
livetradepro,Scott Smith,"$OVAS Our #1 stock pick... (From our ""Heads Up List"" posted prior to the open)  Other set ups I like: stks.co/a2X7p",Fri Sep 11 21:36:45 +0000 2015,false,false,1863,36,,http://t.co/yCPa6ZW5V7,en,Profile Page,
