User,User Name,Tweet,Time,Following?,Follows?,Followers,Following,Location,Account Age,Website,Language,Profile Image
firsttomarkets,FirstToMarkets,"PayPal Holdings, Inc.  Initiated Coverage by Credit Agricole (Ranked 90th) to Underperform $PYPL #PYPL firsttomarkets.com/analytics/stoc…",Thu Sep 03 13:00:06 +0000 2015,false,false,137,39,,http://t.co/pvYJ4srUXZ,en,Profile Page,
barronstechblog,Tiernan Ray,"Piper Jaffray Ups eBay To Hold, Issues Already Reflected In Stock Post-PayPal Spin $EBAY $PYPL on.barrons.com/1N3jw7z",Thu Sep 03 13:22:26 +0000 2015,false,false,7171,239,NYC,"4 years, 9 months",en,Profile Page,
SleekMoneycom,Sleek Money,"Stock Analysts’ Updated EPS Estimates for September, 3rd $AMBA, CECE, CGG, GDFZY, LCI, NNBR, PYPL, SCMP, SCOR, SDRL ift.tt/1VyYGQs",Thu Sep 03 13:36:34 +0000 2015,false,false,593,0,,"1 years, 3 weeks",en,Profile Page,
TickerReport,Ticker Report,"Stock Analysts’ Updated EPS Estimates for September, 3rd $AMBA, CECE, CGG, GDFZY, LCI, NNBR, PYPL, SCMP, SCOR, SDRL ift.tt/1VyZy7C",Thu Sep 03 13:42:29 +0000 2015,false,false,717,11,Virginia,"1 years, 10 months",en,Profile Page,
AmConsumerNews,Consumer News,"Stock Analysts’ Updated EPS Estimates for September, 3rd $AMBA, CECE, CGG, GDFZY, LCI, NNBR, PYPL, SCMP, SCOR, SDRL …",Thu Sep 03 13:49:26 +0000 2015,false,false,983,1413,"Sioux Falls, SD",http://t.co/odTc3pvcAe,en,Profile Page,
jopocop,jopocop,"Piper Jaffray Ups #eBay To Hold, Issues Already Reflected In Stock Post- #PayPal Spin - Barron's #pypl barrons.com/articles/BL-TB…",Thu Sep 03 14:38:39 +0000 2015,false,false,4848,5179,"USA, Canada & Mexico","2 years, 7 months",en,Profile Page,
firsttomarkets,FirstToMarkets,"PayPal Holdings, Inc.  Reiterated Rating by Deutsche Bank (Ranked 16th) to Buy with 42 PT $PYPL #PYPL firsttomarkets.com/analytics/stoc…",Thu Sep 03 15:30:07 +0000 2015,false,false,137,39,,http://t.co/pvYJ4srUXZ,en,Profile Page,
TraderDaily,Trader Daily,PayPal $PYPL Stock Falls in After-Hours Trading on Negative Analyst Note dlvr.it/C3CRrV,Thu Sep 03 20:51:05 +0000 2015,false,false,1996,1228,"New York, NY",http://t.co/xkMHpZC2GX,en,Profile Page,
StockAction,TheStreet SpeedDesk,PayPal $PYPL Stock Falls in After-Hours Trading on Negative Analyst Note dlvr.it/C3CQnN,Thu Sep 03 20:52:33 +0000 2015,false,false,2607,26,"New York, NY",http://t.co/XZWCvoCEnU,en,Profile Page,
DanZwicker,Dan Zwicker ,RT @StockAction: PayPal $PYPL Stock Falls in After-Hours Trading on Negative Analyst Note dlvr.it/C3CQnN,Thu Sep 03 20:56:17 +0000 2015,false,false,2999,1459,"TORONTO, CANADA",http://t.co/DRSzkM3deC,en,Profile Page,
OKOldKinderhook,OK.OldKinderhook,RT @StockAction: PayPal $PYPL Stock Falls in After-Hours Trading on Negative Analyst Note dlvr.it/C3CQnN,Thu Sep 03 20:59:09 +0000 2015,false,false,11642,7934,US,http://t.co/RiaMmZX5zx,en,Profile Page,
24HOfNews,24HOfNews,"PayPal (PYPL) Stock Falls in After-Hours Trading on Negative Analyst Note ift.tt/1Oe9cIE

NEW YORK (TheStreet) -- PayPal  shares …",Thu Sep 03 21:21:43 +0000 2015,false,false,5537,9881,Financial News and Views,http://t.co/Cbb2kwd7,en,Profile Page,
hftblackbox,UltimateBlackbox,PayPal (PYPL) Stock Falls in After-Hours Trading on Negative Analyst Note - TheStreet.com dlvr.it/C3HxgR,Fri Sep 04 01:56:03 +0000 2015,false,false,440,9,New York City,http://t.co/QwK6DcQ5h8,en,Profile Page,
PaymentsNewview,Payments New view,PayPal (PYPL) Stock Falls in After-Hours Trading on Negative Analyst Note - TheStreet.com dlvr.it/C3LNdB,Fri Sep 04 05:01:03 +0000 2015,false,false,1381,2094,,"3 years, 2 months",en,Profile Page,
newswithvalue,Breaking News Now,"$PYPL:

Stock’s Buzzers – JPMorgan Chase &amp; Co. (NYSE:JPM), PayPal …:

StockNewsHour.com/pypl-stocks-bu…",Fri Sep 04 11:17:04 +0000 2015,false,false,379,0,,"1 years, 6 months",en,Profile Page,
EugenePerry01,Eugene Perry,"#Tivo Stock's Buzzers - JPMorgan Chase &amp; Co. (NYSE:JPM), PayPal Holdings, Inc. (NASDAQ:PYPL ...: TiVo and Cox ... bit.ly/1XqvHQO",Fri Sep 04 16:29:58 +0000 2015,false,false,57,0,,"1 years, 1 months",en,Profile Page,
trucharts,truCharts.com,We have been saying short $PYPL - check the stock today. We are staying short. Headed to 30-.,Fri Sep 04 16:32:04 +0000 2015,false,false,741,1237,"San Jose, CA",http://t.co/YlA1asSugw,en,Profile Page,
wsnewspublisher,wsnewspublishers,Stock’s Buzzers – stks.co/i35J9 $JPM $PYPL $TIVO,Fri Sep 04 16:56:52 +0000 2015,false,false,141,490,,http://t.co/ZdqpVYM8tR,en,Profile Page,
san_jose_news_,San Jose News,PayPal (PYPL) Stock Falls in After-Hours Trading on Negative Analyst Not.. Related Articles: bit.ly/1PQ0hO1 pic.twitter.com/U0Zl1cbByw,Sat Sep 05 23:24:32 +0000 2015,false,false,24,175,"San Jose, CA","2 months, 2 weeks",en,Profile Page,
sssvenky,Venky Srinivasan,$PYPL like many other stocks is in a triangle. Can go either way. MACD crossed up which is positive for the stock. pic.twitter.com/CSZodru6uJ,Sun Sep 06 15:27:13 +0000 2015,false,false,1188,165,Illinois,http://t.co/xPGpt9Pgh9,en,Profile Page,
firsttomarkets,FirstToMarkets,"PayPal Holdings, Inc.  Initiated Coverage by B. Riley &amp; Co. (Ranked 69th) to Neutral with 40 PT $PYPL #PYPL firsttomarkets.com/analytics/stoc…",Tue Sep 08 05:15:05 +0000 2015,false,false,137,39,,http://t.co/pvYJ4srUXZ,en,Profile Page,
miles_jenny,Jenny Miles,#Forex: PayPal started at neutral with $40 stock price target at B. Riley dlvr.it/C5KxMW goo.gl/w2Cqo,Tue Sep 08 11:18:34 +0000 2015,false,false,476,29,Cali,"3 years, 2 months",en,Profile Page,
FortisAnimus,Fortis Animus,PayPal started at neutral with $40 stock price target at B. Riley dlvr.it/C5KwjH,Tue Sep 08 11:18:34 +0000 2015,false,false,535,385,London UK,http://t.co/5GJtrrLCoK,en,Profile Page,
MeralProperties,Meral Properties,PayPal started at neutral with $40 stock price target at B. Riley dlvr.it/C5Ky6K #MarketWatch #Business #Finance,Tue Sep 08 11:19:07 +0000 2015,false,false,153,35,Bahrain,http://t.co/moZHgXKLsy,en,Profile Page,
theonefx,onefx,PayPal started at neutral with $40 stock price target at B. Riley...on.mktw.net/1MCTrKx,Tue Sep 08 11:23:24 +0000 2015,false,false,572,3,,"2 years, 11 months",en,Profile Page,
finantric_c,Finantric Capital,PayPal started at neutral with $40 stock price target at B. Riley p.finantric.me/1hT6vl4,Tue Sep 08 11:24:14 +0000 2015,false,false,196,438,"New York, NY",http://t.co/XbDGfGPK2R,en,Profile Page,
EarlRStevenson,Earl R. Stevenson,RT @theonefx: PayPal started at neutral with $40 stock price target at B. Riley...on.mktw.net/1MCTrKx,Tue Sep 08 11:27:16 +0000 2015,false,false,73,148,"Sydney, Australia","1 years, 3 months",en,Profile Page,
