User,User Name,Tweet,Time,Following?,Follows?,Followers,Following,Location,Account Age,Website,Language,Profile Image
KansasCityTrade,️,remember when $QIHU was going private at 70 a share …. good times or when it was 120 also good times,Thu Sep 10 19:49:38 +0000 2015,false,false,538,156,KC ,"3 years, 2 months",en,Profile Page,
KansasCityTrade,️,Remember when we couldn't get enough of China stocks. Good times. $BIDU $BABA $JMEI $QIHU $SOHU $BITA,Thu Sep 10 19:56:07 +0000 2015,false,false,538,156,KC ,"3 years, 2 months",en,Profile Page,
ZacksResearch,Zacks.com,In our China stock roundup we discuss the impact of Yingli's losses. $YGE $SINA $QIHU $JD $CCM $BABA stks.co/c2WpW,Thu Sep 10 20:13:54 +0000 2015,false,false,8871,666,Chicago IL,http://t.co/y4DkR74PC3,en,Profile Page,
wallstreetscope,WallStreet Scope,"Closing Bell Reports: Tesoro Corporation (TSO), Vitae Pharmaceuticals, Inc. (VTAE), Qihoo 360 Technology Co. Ltd. wallstreetscope.com/closing-bell-r…",Thu Sep 10 20:34:40 +0000 2015,false,false,1586,26,,http://t.co/8pWHo5BlYU,en,Profile Page,
inflation,inflation,"Margie sells QIHU 45.25: Qihoo 360 Announces Exercise of Put Option with Respect to JV with Coolpad

“Qihoo 360 Te… ift.tt/1UJVmQb",Thu Sep 10 20:47:18 +0000 2015,false,false,919,82,,"7 years, 1 months",en,Profile Page,
CMLviz,Capital Market Labs,Technical Collapse -&gt;  bit.ly/1G1tJu2     $QIHU Down -3.87% to New Low pic.twitter.com/8VlXvQRzlS,Thu Sep 10 21:23:44 +0000 2015,false,false,1681,16,Los Angeles,http://t.co/l29UpUXIyx,en,Profile Page,
EWInstitute,EastWest Institute,A big thanks for supporting #EWIcyber! @Huawei @Microsoft @PaloAltoNtwks @NXP @QIHU_Official @unisyscorp @CenturyLink @Hewlett_Found,Thu Sep 10 22:05:05 +0000 2015,false,false,7039,1487,"NYC, Brussels, Moscow, D.C.",http://t.co/l2VHI6fjF2,en,Profile Page,
DailyStockPlays,dailystockplays.com,52 Week Low stks.co/g36ZG $VRTS $SRE $WYNN $DUK $WPC $LNG $EGP $VRNT $CPA $RGLD $EXCU $QIHU $SAIC $BKE $APAM $KAMN $BKH $CRMT,Thu Sep 10 22:18:40 +0000 2015,false,false,1448,478,California,http://t.co/yagT24hKEz,en,Profile Page,
China_Stocks,China Stocks,"#China
 #stocks $QIHU Qihoo 360 Daily:-3.80% Weekly:-13.22% YTD:-23.98% Trend:0 / 100  12Stocks.com/QIHU",Thu Sep 10 23:47:45 +0000 2015,false,false,109,3,"Orlando, FL",http://t.co/r47FKKh5b6,en,Profile Page,
HIEcentral,HIE Central,"#HIE Closing Bell Reports: Tesoro Corporation (TSO), Vitae Pharmaceuticals, Inc. (VTAE), Qihoo 360 ... ow.ly/33Y9oE",Fri Sep 11 00:06:12 +0000 2015,false,false,46,1,,"4 years, 3 months",en,Profile Page,
sandiegosam,Craig S.,$QIHU - that deal ain't gonna happen north of 70,Fri Sep 11 01:13:18 +0000 2015,false,false,334,499,West Coast - USA,"7 years, 4 months",en,Profile Page,
