User,User Name,Tweet,Time,Following?,Follows?,Followers,Following,Location,Account Age,Website,Language,Profile Image
InvestWithConf,InvestWithConf,"$RHT is rated BUY, 18.1% upside by Wall Street analysts based on average ratings/targets manyratings.com/RHT pic.twitter.com/Yd2Xn2NaNO",Thu Sep 03 01:18:02 +0000 2015,false,false,192,0,,"1 years, 6 months",en,Profile Page,
schestowitz,Dr. Roy Schestowitz,Red Hat Inc (NYSE:RHT) will Declare Q2 2016 Results Soon marketswired.com/red-hat-inc-ny… investornewswire.com/analyst-views/… vanguardtribune.com/2015/09/02/sto…,Thu Sep 03 15:41:12 +0000 2015,false,false,3392,949,"Manchester, UK",http://t.co/tIN24agXcT,en,Profile Page,
Allstocknews,$Stocknewsalerts,"$RHT New SEC Document(s) for Red Hat, Inc.
From our Stock News Alerts App",Thu Sep 03 20:45:24 +0000 2015,false,false,793,10,,https://t.co/PQSytGvcf6,en,Profile Page,
MyAlliesTrading,MyAllies Trading,$RHT Red Hat prepares for the IoT revolution goo.gl/fl68Ci,Fri Sep 04 18:00:28 +0000 2015,false,false,191,0,,https://t.co/CXkUO1PIZA,en,Profile Page,
NewYorkTNews,New York News,RHT:New York Stock Quote - Red Hat Inc ... zziipp.eu/?u=http://www.…,Sun Sep 06 16:36:39 +0000 2015,false,false,609,1464,,"1 years, 9 months",en,Profile Page,
TheaBeaumontrd,Thea Beaumont,"NWT WILSON A2000 FASTPITCH 2800FP FIRST BASE MITT GLOVE 12.25"" RHT PRO STOCK …od-marvelous-auction.buycheapnow.info/buy-f03/01/?qu… pic.twitter.com/PeC3bLYsg1",Sun Sep 06 19:56:37 +0000 2015,false,false,13,27,,"1 months, 1 weeks",en,Profile Page,
TheaBeaumontrd,Thea Beaumont,NICE Wilson A2800 Pro Stock BASEBALL GLOVE Mitt 1613 RHT First Base RIGHT A2000 …od-marvelous-auction.buycheapnow.info/buy-f03/01/?qu… pic.twitter.com/y5bUlcbAOH,Mon Sep 07 12:26:14 +0000 2015,false,false,13,27,,"1 months, 1 weeks",en,Profile Page,
InvestWorldNews,Invest World News,Red Hat Stock Rating Lowered by Zacks (RHT) investmentworldnews.com/2015/08/27/red…,Mon Sep 07 15:08:13 +0000 2015,false,false,239,32,,http://t.co/ZnYWLOlGCA,en-gb,Profile Page,
hoyosplacido3,extremely nice revie,"Wilson a2k 1796 11.75"" Pro Stock Select Baseball Glove Reinforced T-Web RHT …out-of-this-world-item.newoffers.info/buy/01/?query=… pic.twitter.com/mBEQ8OmFEe",Tue Sep 08 13:14:29 +0000 2015,false,false,27,40,,"5 months, 1 weeks",es,Profile Page,
MyAlliesTrading,MyAllies Trading,"$RHT Red Hat Seeks to Energize Asia Pacific Enterprises with Fifth Annual Red Hat Forum
            
        ... goo.gl/fl68Ci",Thu Sep 10 14:09:00 +0000 2015,false,false,191,0,,https://t.co/CXkUO1PIZA,en,Profile Page,
firsttomarkets,FirstToMarkets,Red Hat Inc. Initiated Coverage by BTIG Research (Ranked 74th) to Buy $RHT #RHT firsttomarkets.com/analytics/stoc…,Thu Sep 10 21:30:16 +0000 2015,false,false,137,39,,http://t.co/pvYJ4srUXZ,en,Profile Page,
MyAlliesTrading,MyAllies Trading,"$RHT Avianca Holdings Named 2015 Red Hat Innovator of the Year
            
                  September 11, 2... goo.gl/fl68Ci",Fri Sep 11 12:10:05 +0000 2015,false,false,191,0,,https://t.co/CXkUO1PIZA,en,Profile Page,
MyAlliesTrading,MyAllies Trading,"$RHT Red Hat Named a Leader In Mobile Infrastructure Services by Independent Research Firm
            
     ... goo.gl/fl68Ci",Fri Sep 11 16:19:20 +0000 2015,false,false,191,0,,https://t.co/CXkUO1PIZA,en,Profile Page,
