User,User Name,Tweet,Time,Following?,Follows?,Followers,Following,Location,Account Age,Website,Language,Profile Image
midgemanycoats,Quartermaster,$brss and $scco have been super,Thu Sep 10 17:06:39 +0000 2015,false,false,94,192,,"10 months, 2 weeks",en,Profile Page,
clayton_dd,clayton,SCCO 27.74 Southern Peru Copper Corp $SCCO added to my watch list. Right now with SCCO I am watching the last  investorshangout.com/post/view?id=3…,Thu Sep 10 17:14:22 +0000 2015,false,false,601,490,,"1 years, 10 months",en,Profile Page,
KSBWPhil,Phillip Gomez,SCCO Deputies carrying bottled water to give to people during heat wave pic.twitter.com/ECj4XRTXGu,Thu Sep 10 19:43:22 +0000 2015,false,false,245,30,,"1 years, 10 months",en,Profile Page,
omniscientrader,Tomorrows Bluechips,Yahoo Finance ow.ly/S3ups #Mining Stocks Are Hot $trow $scco bhp $rio $fcx,Thu Sep 10 19:50:15 +0000 2015,false,false,11882,10952,,http://t.co/O8ZOdUG2yY,en,Profile Page,
TRADINGPENNY1,TRADINGPENNYSTOCKS,Yahoo Finance ow.ly/S3upH #Mining Stocks Are Hot $trow $scco bhp $rio $fcx,Thu Sep 10 19:50:15 +0000 2015,false,false,343,606,ABOVE ALL,http://t.co/5ey6irJiLX,en,Profile Page,
KingOTCtrades,King OTC ,Yahoo Finance ow.ly/S3upo #Mining Stocks Are Hot $trow $scco bhp $rio $fcx,Thu Sep 10 19:50:15 +0000 2015,false,false,483,875,,http://t.co/vHGWci91Mb,en,Profile Page,
SEXYSTOCKSX,SexyStocks,Yahoo Finance ow.ly/S3upD #Mining Stocks Are Hot $trow $scco bhp $rio $fcx,Thu Sep 10 19:50:15 +0000 2015,false,false,271,754,Dirty Jersey,http://t.co/0lDil8d56u,en,Profile Page,
pennystockseekr,pennystock seeker,Yahoo Finance ow.ly/S3upv #Mining Stocks Are Hot $trow $scco bhp $rio $fcx,Thu Sep 10 19:50:15 +0000 2015,false,false,5765,5466,,http://t.co/5eChj5TbgB,en,Profile Page,
otcaddict,OTCADDICT,Yahoo Finance ow.ly/S3upu #Mining Stocks Are Hot $trow $scco bhp $rio $fcx,Thu Sep 10 19:50:15 +0000 2015,false,false,15962,14891,,http://t.co/SM8Ai7YLx3,en,Profile Page,
AllPUMPnodump,AllPUMPnodump,Yahoo Finance ow.ly/S3uds #Mining Stocks Are Hot $trow $scco bhp $rio $fcx,Thu Sep 10 19:50:15 +0000 2015,false,false,5436,5053,,"3 years, 5 months",en,Profile Page,
sharesinplay,sharesinplay,Yahoo Finance ow.ly/S3upE #Mining Stocks Are Hot $trow $scco bhp $rio $fcx,Thu Sep 10 19:50:15 +0000 2015,false,false,6509,5207,,"3 years, 3 months",en,Profile Page,
ViralPennies,Viral Pennies,Yahoo Finance ow.ly/S3upL #Mining Stocks Are Hot $trow $scco bhp $rio $fcx,Thu Sep 10 19:50:15 +0000 2015,false,false,713,571,Penny Land,http://t.co/K9RcWDjhcD,en,Profile Page,
rbalerts,Ragingbull alerts,Yahoo Finance ow.ly/S3upy #Mining Stocks Are Hot $trow $scco bhp $rio $fcx,Thu Sep 10 19:50:15 +0000 2015,false,false,5326,4774,,http://t.co/87PdWsdoDI,en,Profile Page,
SpecTrader1,Speculative Trader,Yahoo Finance ow.ly/S3upG #Mining Stocks Are Hot $trow $scco bhp $rio $fcx,Thu Sep 10 19:50:15 +0000 2015,false,false,1477,1891,PENNYLAND,http://t.co/dYI7JOB1rI,en,Profile Page,
LiquidPenny,liquid penny,Yahoo Finance ow.ly/S3upq #Mining Stocks Are Hot $trow $scco bhp $rio $fcx,Thu Sep 10 19:50:15 +0000 2015,false,false,808,772,Here and There,http://t.co/DQFVDkmifa,en,Profile Page,
ROCTHESTOCKS,ROCTHESTOCK,Yahoo Finance ow.ly/S3upA #Mining Stocks Are Hot $trow $scco bhp $rio $fcx,Thu Sep 10 19:50:15 +0000 2015,false,false,205,497,$$$$$$$$$$$$$$$$$$$$,http://t.co/5ey6irJiLX,en,Profile Page,
PDACMining,PDAC,RT @otcaddict: Yahoo Finance ow.ly/S3upu #Mining Stocks Are Hot $trow $scco bhp $rio $fcx,Thu Sep 10 19:54:06 +0000 2015,false,false,6056,4891,"Toronto, Canada","4 years, 6 months",en,Profile Page,
PDACMining,PDAC,RT @AllPUMPnodump: Yahoo Finance ow.ly/S3uds #Mining Stocks Are Hot $trow $scco bhp $rio $fcx,Thu Sep 10 19:54:06 +0000 2015,false,false,6056,4891,"Toronto, Canada","4 years, 6 months",en,Profile Page,
MinLinks,Min Links,"Yahoo Finance ow.ly/S3ups #Mining Stocks Are Hot $trow $scco bhp $rio $fcx

Yahoo Finance … twitter.com/omniscientrade…",Thu Sep 10 19:54:46 +0000 2015,false,false,662,335,,http://t.co/NupY8lA6sH,en,Profile Page,
MinLinks,Min Links,"Yahoo Finance ow.ly/S3upH #Mining Stocks Are Hot $trow $scco bhp $rio $fcx

Yahoo Finance … twitter.com/TRADINGPENNY1/…",Thu Sep 10 19:54:47 +0000 2015,false,false,662,335,,http://t.co/NupY8lA6sH,en,Profile Page,
MinLinks,Min Links,"Yahoo Finance ow.ly/S3upo #Mining Stocks Are Hot $trow $scco bhp $rio $fcx

Yahoo Finance … twitter.com/KingOTCtrades/…",Thu Sep 10 19:54:47 +0000 2015,false,false,662,335,,http://t.co/NupY8lA6sH,en,Profile Page,
MinLinks,Min Links,"Yahoo Finance ow.ly/S3upD #Mining Stocks Are Hot $trow $scco bhp $rio $fcx

Yahoo Finance … twitter.com/SEXYSTOCKSX/st…",Thu Sep 10 19:54:47 +0000 2015,false,false,662,335,,http://t.co/NupY8lA6sH,en,Profile Page,
MinLinks,Min Links,"Yahoo Finance ow.ly/S3upv #Mining Stocks Are Hot $trow $scco bhp $rio $fcx

Yahoo Finance … twitter.com/pennystockseek…",Thu Sep 10 19:54:47 +0000 2015,false,false,662,335,,http://t.co/NupY8lA6sH,en,Profile Page,
MinLinks,Min Links,"Yahoo Finance ow.ly/S3upu #Mining Stocks Are Hot $trow $scco bhp $rio $fcx

Yahoo Finance … twitter.com/otcaddict/stat…",Thu Sep 10 19:54:48 +0000 2015,false,false,662,335,,http://t.co/NupY8lA6sH,en,Profile Page,
MinLinks,Min Links,"Yahoo Finance ow.ly/S3uds #Mining Stocks Are Hot $trow $scco bhp $rio $fcx

Yahoo Finance … twitter.com/AllPUMPnodump/…",Thu Sep 10 19:54:48 +0000 2015,false,false,662,335,,http://t.co/NupY8lA6sH,en,Profile Page,
