User,User Name,Tweet,Time,Following?,Follows?,Followers,Following,Location,Account Age,Website,Language,Profile Image
d4vegrohl,brooke,So to get a new iPhone I have to change my address on my card and then order it and it  be out of stock by then wow ok 😍😍😊😊😊😀😀,Sat Sep 12 08:22:57 +0000 2015,false,false,3043,3257,,https://t.co/h7P1SJi2Bb,en,Profile Page,
WightVintage,China Chick Claire,"Rare day off so bit of stock taking and sorting me thinks
 Have a good weekend fb.me/31MMJ8uJB",Sat Sep 12 08:27:21 +0000 2015,false,false,1192,1488,Isle of Wight,http://t.co/ssJTqXkq9W,en,Profile Page,
southro_p,southrop,@TimeForCrepes Amazon gets more stock at the end of the month so if you can wait I'd just order it from there,Sat Sep 12 08:31:03 +0000 2015,false,false,1399,1553,香港 (Hong Kong),http://t.co/Pt0EJctiQN,en,Profile Page,
LyndaFBlackbur1,NeverForgottenFlower,"RT @sportsjamkits: We have dozens and dozens of balls in stock, so order yours today! sportsjamdirect.co.uk/footballs/ pic.twitter.com/AueNykPzZb",Sat Sep 12 08:33:40 +0000 2015,false,false,98,243,United Kingdom,http://t.co/2xTInkIHZE,en,Profile Page,
GilmoreHoggarth,GilmoreHoggarth,Add the stock saying so that thy images: NhYNS,Sat Sep 12 08:36:59 +0000 2015,false,false,53,1,,"2 years, 6 months",en,Profile Page,
Legacywear,Legacy Clothing,We'll be there over at @ICEFC1 with all our stock so come over and say hi.,Sat Sep 12 08:38:19 +0000 2015,false,false,1023,266,worldwide,http://t.co/9VLJNx3qBe,en,Profile Page,
PicknPay,Pick n Pay,@HudsonXbox So sorry about this. Unfortunately the promotion is subject to stock availability.,Sat Sep 12 08:38:21 +0000 2015,false,false,144850,14034,South Africa,http://t.co/b3k4o598VG,en,Profile Page,
superdrug,Superdrug,"@lurganista Can you give me a list of your nearest stores so I can call them and see if they stock the range? - Thanks, Zoe",Sat Sep 12 08:39:31 +0000 2015,false,false,113391,3252,,http://t.co/rG09llNQPd,en,Profile Page,
Nialltweeting,Niall Mooney,So about this time every seven years the stock markets crash . #stockmarket I think I see bears coming,Sat Sep 12 08:42:53 +0000 2015,false,false,264,416,Galway,http://t.co/icdoog4dy3,en,Profile Page,
wendysunbae,Jess 'ㅅ',@baekhyuunie umm im gonna try to see if there's a stock here but i have to send it from ina so it'll be quite expensive :(,Sat Sep 12 08:42:57 +0000 2015,false,false,2395,161,✨ ㅂㅂㅎ ✨ ,"1 years, 1 months",en,Profile Page,
