User,User Name,Tweet,Time,Following?,Follows?,Followers,Following,Location,Account Age,Website,Language,Profile Image
wsnewspublisher,wsnewspublishers,News Review: stks.co/a2WzD $HIMX $AWK $SPPI $SPLK,Fri Sep 11 14:30:57 +0000 2015,false,false,140,490,,http://t.co/ZdqpVYM8tR,en,Profile Page,
lexiekpf43,lexie bohmer,RT @OptionsHawk: Bearish flow in $TSO $RHT $SPLK $ORCL early,Fri Sep 11 15:23:50 +0000 2015,false,false,5,6,USA,"2 weeks, 4 days",en,Profile Page,
SplunkUK,Splunk UK,"Get the latest news, insight and ideas from .conf2015. Follow @Splunkconf and connect on LinkedIn: splk.it/b4K",Fri Sep 11 16:00:11 +0000 2015,false,false,375,145,United Kingdom,http://t.co/kfUy71aZMu,en,Profile Page,
The_Double_Dip,The Double Dip,RT @OptionsHawk: Bearish flow in $TSO $RHT $SPLK $ORCL early,Fri Sep 11 16:39:29 +0000 2015,false,false,9562,2775,,"3 years, 3 months",en,Profile Page,
IrmaLaLaDouce,Irma Doucet,$SPLK Splunk Inc. (NASDAQ:SPLK) Short Interest Update stocknomics.co/u/NTM4MDIy,Fri Sep 11 17:48:00 +0000 2015,false,false,111,26,,http://t.co/cRBSFFHoFn,en,Profile Page,
SplunkGov,Splunk Public Sector,"Great read from @Forbes: Five Things You Never Suspected About Your Healthcare Data, by @RJSzczerba: splk.it/h4k #HealthIT",Fri Sep 11 18:06:00 +0000 2015,false,false,609,739,,http://t.co/kfUy70TonU,en,Profile Page,
amigobulls,Amigobulls,$CHKP $SPLK $CYBR $FEYE Unique cybersecurity offering makes Tanium an interesting IPO. amigobulls.com/articles/taniu…,Fri Sep 11 18:30:03 +0000 2015,false,false,231,101,,http://t.co/1Q6Q6ovKxL,en,Profile Page,
wallstreetscope,WallStreet Scope,"Technology Sector Movers: SBA Communications Corp. (SBAC), Windstream Holdings, Inc. (WIN), Accenture plc (ACN), wallstreetscope.com/technology-sec…",Fri Sep 11 18:35:11 +0000 2015,false,false,1586,26,,http://t.co/8pWHo5BlYU,en,Profile Page,
biofan1,LEARNER,@The_Real_Fly if you are short $splk and $nflx you don't have too! Lol,Fri Sep 11 18:36:22 +0000 2015,false,false,327,799,,"4 years, 6 months",en,Profile Page,
jimatforsythe,Jim Huisel,RT @splunk: Splunk's Chief Security Evangelist @monzymerza: How The Rules of Cyber Engagement Have Changed splk.it/p5S http://t.pic.twitter.com/cwRUoa2Xzz,Fri Sep 11 19:13:20 +0000 2015,false,false,70,142,Greater Chicago Area ,"5 years, 9 months",en,Profile Page,
infoELCAP,ELCAP Consulting,"Leonard Stein, SVP - General Counsel &amp; Sec. of Splunk Inc (NASDAQ:SPLK) Just Sold Shares bit.ly/1Ojtxi1 #compliance #SEC",Fri Sep 11 19:32:42 +0000 2015,false,false,348,218,United States,http://t.co/KBONrRZ0Xu,en,Profile Page,
Jake132013,Jake13,"DDD 3D Systems Corp. Bid
dlvr.it/C79xlm

$DDD $PBR $DUST $SPLK #DDD #stocks #share",Fri Sep 11 19:34:30 +0000 2015,false,false,701,489,,"1 years, 10 months",en,Profile Page,
danrocks4,danrocks,"DHI DR Horton Inc. Exchange
dlvr.it/C79w3l

$DHI $GE $X $SPLK #DHI #pennystocks #stockmarket",Fri Sep 11 19:36:34 +0000 2015,false,false,714,499,,"1 years, 10 months",en,Profile Page,
DennyT14,DennyT,"GBSN Great Basin Scientific, Inc. Open
dlvr.it/C7B18q

$GBSN $NEM $XIV $SPLK #GBSN #invest #stocks",Fri Sep 11 19:41:10 +0000 2015,false,false,769,895,,"1 years, 8 months",en,Profile Page,
1LuckyJimmy,Lucky Jimmy,"NAT Nordic American Tanker Shipping Ltd. 52Wk High
dlvr.it/C7B1VX

$NAT $SPLK $VRX.TO $EWZ #NAT #invest #share",Fri Sep 11 19:44:15 +0000 2015,false,false,447,492,IH,http://t.co/b6HCTM0G2l,en,Profile Page,
IHPosts2,Investors Hangout,"SPLK Splunk Inc. Bid
dlvr.it/C7B6H5

$SPLK $NFLX $THLD $INP.V #SPLK #investing #investing",Fri Sep 11 19:44:42 +0000 2015,false,false,13150,471,,"1 years, 2 months",en,Profile Page,
