User,User Name,Tweet,Time,Following?,Follows?,Followers,Following,Location,Account Age,Website,Language,Profile Image
clayton_dd,clayton,"LMT Lockheed Martin Corp. Yield
dlvr.it/C7F3Cn

$LMT $HYG $TWTR $NEM #LMT #nasdaq #stock",Fri Sep 11 22:44:39 +0000 2015,false,false,601,490,,"1 years, 10 months",en,Profile Page,
Stock_Tracker1,Stock_Tracker,"TWTR Twitter, Inc. Company Info
dlvr.it/C7F2tp

$TWTR $CMG $TQQQ $EXPE #TWTR #investing #invest",Fri Sep 11 22:47:29 +0000 2015,false,false,1483,496,,"1 years, 10 months",en,Profile Page,
Stock_Tracker1,Stock_Tracker,"TWTR Twitter, Inc. Market Cap
dlvr.it/C7F46z

$TWTR $XLP $RIG $ERX #TWTR #invest #tradeideas",Fri Sep 11 22:47:29 +0000 2015,false,false,1483,496,,"1 years, 10 months",en,Profile Page,
cchason66,chris chason,@SKWDMD Unless they announce #Trump is being made CEO stock will probably go down 3% that day.  If we are lucky.  $TWTR,Fri Sep 11 22:49:59 +0000 2015,false,false,6,56,"Annandale, VA","4 years, 5 months",en,Profile Page,
vishalgpt189,Vishal Gupta,"RT @sacca: ""Everybody else is making money except us. So sad. Let's not do a stock report today."" My 3-yr-old, @CCEleven cc $TWTR.",Fri Sep 11 22:53:36 +0000 2015,false,false,5,56,,"1 years, 3 months",en,Profile Page,
Stock_Tracker1,Stock_Tracker,"RSP Guggenheim S&amp;P 500 Equal Weight ETF 52Wk Low
dlvr.it/C7FsF6

$RSP $URA $SWKS $TWTR #RSP #stock #finance",Fri Sep 11 23:42:36 +0000 2015,false,false,1483,496,,"1 years, 10 months",en,Profile Page,
clayton_dd,clayton,"ZA Zuoan Fashion Ltd. Open
dlvr.it/C7G4sP

$ZA $LNKD $TWTR $NKE #ZA #stock #tradeideas",Fri Sep 11 23:50:12 +0000 2015,false,false,601,490,,"1 years, 10 months",en,Profile Page,
DennyT14,DennyT,"SBUX ProShares UltraShort DJ-UBS Crude Oil Current Price
dlvr.it/C7Gr4B

$SBUX $TWTR $AMZN $GDXJ #SBUX #share #stock",Sat Sep 12 00:44:37 +0000 2015,false,false,769,895,,"1 years, 8 months",en,Profile Page,
ScoreTrade,Mark,RT @theflynews: On The Fly: Top stock stories for Friday  $SLB $COP $YHOO $TWTR $AMD $MSFT $KR $ZUMZ $MFRM: Full Story bit.ly/1gfZKIW,Sat Sep 12 01:19:53 +0000 2015,false,false,10221,2783,Manhattan,"3 years, 3 months",en,Profile Page,
stock_forums,Stock Forums,"AA Alcoa, Inc. News
dlvr.it/C7HVxd

$AA $XLU $DRN $TWTR #AA #share #nasdaqAAL American Airlines Group Inc. Day Low…",Sat Sep 12 01:32:08 +0000 2015,false,false,4383,536,Investors Hangout,http://t.co/JkfatuqVnK,en,Profile Page,
Stock_Tracker1,Stock_Tracker,"AA Alcoa, Inc. News
dlvr.it/C7HQrv

$AA $XLU $DRN $TWTR #AA #share #nasdaqAAL American Airlines Group Inc. Day Low…",Sat Sep 12 01:32:09 +0000 2015,false,false,1483,496,,"1 years, 10 months",en,Profile Page,
stock_forums,Stock Forums,"AA Alcoa, Inc. News
dlvr.it/C7HVCT

$AA $XLU $DRN $TWTR #AA #share #nasdaqAAL American Airlines Group Inc. Day Low…",Sat Sep 12 01:32:10 +0000 2015,false,false,4383,536,Investors Hangout,http://t.co/JkfatuqVnK,en,Profile Page,
stock_forums,Stock Forums,"AA Alcoa, Inc. News
dlvr.it/C7HX2p

$AA $XLU $DRN $TWTR #AA #share #nasdaqAAL American Airlines Group Inc. Day Low…",Sat Sep 12 01:32:11 +0000 2015,false,false,4383,536,Investors Hangout,http://t.co/JkfatuqVnK,en,Profile Page,
stock_forums,Stock Forums,"AA Alcoa, Inc. News
dlvr.it/C7HWmq

$AA $XLU $DRN $TWTR #AA #share #nasdaqAAL American Airlines Group Inc. Day Low…",Sat Sep 12 01:32:12 +0000 2015,false,false,4383,536,Investors Hangout,http://t.co/JkfatuqVnK,en,Profile Page,
Stock_Tracker1,Stock_Tracker,"AA Alcoa, Inc. News
dlvr.it/C7HS1H

$AA $XLU $DRN $TWTR #AA #share #nasdaqAAL American Airlines Group Inc. Day Low…",Sat Sep 12 01:32:33 +0000 2015,false,false,1483,496,,"1 years, 10 months",en,Profile Page,
stock_forums,Stock Forums,"AA Alcoa, Inc. News
dlvr.it/C7HT0v

$AA $XLU $DRN $TWTR #AA #share #nasdaqAAL American Airlines Group Inc. Day Low…",Sat Sep 12 01:32:33 +0000 2015,false,false,4383,536,Investors Hangout,http://t.co/JkfatuqVnK,en,Profile Page,
ASPWired,Hosting4Skagit,#TwitterNews Why Twitter (TWTR) Stock Is Up Today bit.ly/1ts1uQY #elaineOssipov,Sat Sep 12 01:34:25 +0000 2015,false,false,4354,4462,Anacortes Wa.98273,http://t.co/7gsaUDXbnA,en,Profile Page,
POSTpositions,dean,"you're watching the
SACCA-JACK SHIP at $TWTR
a love story for the ages
only on twitter

buy lots of our stock 
NYSE: $TWTR 
you idiots!",Sat Sep 12 01:39:17 +0000 2015,false,false,79,250,,"1 years, 5 months",en,Profile Page,
PolgarStocks,PolgarStocks,"IEF iShares Barclays 7-10 Year Treasury Bond Fund Open
dlvr.it/C7Hhnk

$IEF $AMBA $GFI $TWTR #IEF #stock #investing",Sat Sep 12 01:41:07 +0000 2015,false,false,806,497,,"2 years, 2 days",en,Profile Page,
DennyT14,DennyT,"TWTR Twitter, Inc. Open
dlvr.it/C7HhCY

$TWTR $BNS.TO $TRV $MRK #TWTR #nasdaq #stock",Sat Sep 12 01:47:04 +0000 2015,false,false,769,895,,"1 years, 8 months",en,Profile Page,
DennyT14,DennyT,"TWTR Twitter, Inc. 52Wk Low
dlvr.it/C7HfKn

$TWTR $INTC $WFC $TE #TWTR #stock #stock",Sat Sep 12 01:47:05 +0000 2015,false,false,769,895,,"1 years, 8 months",en,Profile Page,
clayton_dd,clayton,"UA VelocityShares 3x Long Natural Gas ETN Quotes
dlvr.it/C7HZt9

$UA $ERF.TO $BDX $TWTR #UA #stock #tradeideas",Sat Sep 12 01:47:09 +0000 2015,false,false,601,490,,"1 years, 10 months",en,Profile Page,
stock_forums,Stock Forums,"TWTR Direxion Daily Small Cap Bear 3x Shares Day Low
dlvr.it/C7Hh3R

$TWTR $MU $SMH $NUGT #TWTR #stocks #investing",Sat Sep 12 01:47:14 +0000 2015,false,false,4383,536,Investors Hangout,http://t.co/JkfatuqVnK,en,Profile Page,
danrocks4,danrocks,"TWTR Twitter, Inc. Stock Message Board
dlvr.it/C7HmCb

$TWTR $GE $NKE $PANW #TWTR #stocks #finance",Sat Sep 12 01:47:35 +0000 2015,false,false,714,499,,"1 years, 10 months",en,Profile Page,
clayton_dd,clayton,"TWTR Twitter, Inc. Bid Size
dlvr.it/C7Hq1H

$TWTR $NFLX $USO $AVXL #TWTR #stock #finance",Sat Sep 12 01:48:57 +0000 2015,false,false,601,490,,"1 years, 10 months",en,Profile Page,
Stock_Tracker1,Stock_Tracker,"TWTR Twitter, Inc. Open
dlvr.it/C7HkWX

$TWTR $GG $AGIO $EDR.TO #TWTR #invest #stocks",Sat Sep 12 01:48:58 +0000 2015,false,false,1483,496,,"1 years, 10 months",en,Profile Page,
Stock_Tracker1,Stock_Tracker,"UVXY ProShares Ultra VIX Short-Term Futures ETF Last Trade
dlvr.it/C7HqD6

$UVXY $TWTR $APOL $IBB #UVXY #nasdaq #invest",Sat Sep 12 01:49:00 +0000 2015,false,false,1483,496,,"1 years, 10 months",en,Profile Page,
1LuckyJimmy,Lucky Jimmy,"XIV VelocityShares Daily Inverse VIX Short Term ETN Stock Message Board
dlvr.it/C7HrfW

$XIV $ATC.V $TWTR $FB #XIV #share #share",Sat Sep 12 01:52:17 +0000 2015,false,false,447,492,IH,http://t.co/b6HCTM0G2l,en,Profile Page,
timothysykes,Timothy Sykes,Key Stock Terms To Know timothysykes.com/2015/08/35-pen… go $STUDY $FB $TWTR peeps,Sat Sep 12 02:00:44 +0000 2015,false,false,88630,6448,Miami Beach,http://t.co/c1EmQKuPaZ,en,Profile Page,
istock8,iStock Market,RT @timothysykes: Key Stock Terms To Know timothysykes.com/2015/08/35-pen… go $STUDY $FB $TWTR peeps,Sat Sep 12 02:09:45 +0000 2015,false,false,443,391,,http://t.co/lsnpweDA2g,en,Profile Page,
MoneyMarketzz,Paul Henry,"Our Stock Picks Have Gained Over 1,000% In 2 Months! See Our New Picks: snipurl.com/2a78lv6 $Q $TWTR $YY",Sat Sep 12 02:14:17 +0000 2015,false,false,13007,0,,"2 months, 4 weeks",en,Profile Page,
_JL82_,Jay,RT @timothysykes: Key Stock Terms To Know timothysykes.com/2015/08/35-pen… go $STUDY $FB $TWTR peeps,Sat Sep 12 02:14:43 +0000 2015,false,false,161,154,,"4 years, 8 months",en,Profile Page,
KayAdeniyi1,Kay Adeniyi,RT @timothysykes: Key Stock Terms To Know timothysykes.com/2015/08/35-pen… go $STUDY $FB $TWTR peeps,Sat Sep 12 02:42:17 +0000 2015,false,false,388,251,"Calgary, AB","5 years, 2 months",en,Profile Page,
Mia_Thomson_GD,Mia Thomson,"Twtr Stock Quote Twitter Inc. Stock Price Today Twtr Nyse … : thebingbing.com/fortune/861898 ,,,,",Sat Sep 12 02:50:32 +0000 2015,false,false,6298,6736,,"2 years, 10 months",en,Profile Page,
Emylers,Emylers,"TVIX VelocityShares Daily 2x VIX Short Term ETN Stock Message Board
dlvr.it/C7KLkb

$TVIX $XOM $AA $TWTR #TVIX #stock…",Sat Sep 12 03:47:33 +0000 2015,false,false,430,499,,"1 years, 10 months",en,Profile Page,
stock_forums,Stock Forums,"TWTR ProShares UltraPro S&amp;P 500 52Wk Low
dlvr.it/C7L8tl

$TWTR $DOW $CDW $XLY #TWTR #nasdaq #nasdaq",Sat Sep 12 04:56:32 +0000 2015,false,false,4383,536,Investors Hangout,http://t.co/JkfatuqVnK,en,Profile Page,
seewho6699,Seehoo,RT @theflynews: On The Fly: Top stock stories for Friday  $SLB $COP $YHOO $TWTR $AMD $MSFT $KR $ZUMZ $MFRM: Full Story bit.ly/1gfZKIW,Sat Sep 12 05:49:29 +0000 2015,false,false,26,32,,"3 years, 3 months",en,Profile Page,
Stock_Huntress,Stock_Huntress,Do you want trading success in 2015? Learn from this millionaire trader smq.tc/1GEVz5M $FB $TWTR $LNKD,Sat Sep 12 06:22:26 +0000 2015,false,false,83,40,,"8 months, 2 weeks",en,Profile Page,
CNAFinance,Joshua Rodriguez,Twitter (NYSE: TWTR) Stock | Will We See Growth This Week? cnafinance.com/twitter-nyse-t…,Sat Sep 12 09:03:34 +0000 2015,false,false,10856,4548,,http://t.co/AXHqVBOhGw,en,Profile Page,
