User,User Name,Tweet,Time,Following?,Follows?,Followers,Following,Location,Account Age,Website,Language,Profile Image
bostonshane666,shane,"@crisknows $VDSI's management doesn't do buybacks, so company needs a new contract. STOCK IS TOO CHEAP!!!",Thu Sep 03 13:49:10 +0000 2015,false,false,10,27,,"8 months, 4 weeks",en,Profile Page,
bostonshane666,shane,@symantec Why don't you buy $VDSI? STOCK IS TOO CHEAP!!!,Thu Sep 03 17:02:13 +0000 2015,false,false,10,27,,"8 months, 4 weeks",en,Profile Page,
HedgeMind,HedgeMind,@bostonshane666 Update quarterly unless hedge funds bought 5%+ ownership &amp; have to file #13D/G we tracked here bit.ly/1JBIGFM,Thu Sep 03 17:35:12 +0000 2015,false,false,5306,98,,http://t.co/pk2TeOZB9t,en,Profile Page,
bostonshane666,shane,@tkendallhunt Do you realize your stock is near the yearly low $VDSI?,Fri Sep 04 18:25:16 +0000 2015,false,false,10,27,,"8 months, 4 weeks",en,Profile Page,
indispenceable1,Spencer,"@jimcramer what do you think about holding $VDSI, I never hear you talk about that stock in the cyber security sector?",Fri Sep 04 22:35:36 +0000 2015,false,false,15,97,,"1 years, 6 months",en,Profile Page,
InvestWithConf,InvestWithConf,"$VDSI is rated BUY, 122.5% upside by Wall Street analysts based on average ratings/targets manyratings.com/VDSI pic.twitter.com/Ud4UCgc4EF",Sun Sep 06 08:22:02 +0000 2015,false,false,192,0,,"1 years, 6 months",en,Profile Page,
chartguy89,chartguy89,VDSI -2.30% Stock Charts $VDSI Vasco Data Security International Inc. (NASDAQ) Last Updated: 09/06/2015 09:03: investorshangout.com/post/view?id=3…,Sun Sep 06 14:03:09 +0000 2015,false,false,1274,717,,"1 years, 8 months",en,Profile Page,
Eaglecel,Dave,"@VASCODataNews $VDSI's stock down for 12 weeks in a row, management makes millions, they should all be fired, not a word from them, WOW...",Tue Sep 08 19:19:21 +0000 2015,false,false,51,631,,"9 months, 4 weeks",en,Profile Page,
rosnerstocks,Rosner Stocks,"ABBV AbbVie Inc. Current Price
dlvr.it/C5hsT4

$ABBV $JNJ $VDSI $IMGN #ABBV #stock #investing",Wed Sep 09 04:30:33 +0000 2015,false,false,963,144,Investors Hangout,http://t.co/PLaIJQnyya,en,Profile Page,
IHPosts2,Investors Hangout,"BWLD Buffalo Wild Wings Inc. Stock Forum
dlvr.it/C5hyYR

$BWLD $VXX $VDSI $EBAY #BWLD #invest #nasdaq",Wed Sep 09 04:34:02 +0000 2015,false,false,13150,471,,"1 years, 2 months",en,Profile Page,
lookn4wins,lookn4wins,"BX Blackstone Group LP Ask
dlvr.it/C5hz3G

$BX $ACI $CDW $VDSI #BX #stock #tradeideas",Wed Sep 09 04:34:06 +0000 2015,false,false,982,495,,"1 years, 10 months",en,Profile Page,
InvestWithConf,InvestWithConf,"$VDSI is rated BUY, 112.0% upside by Wall Street analysts based on average ratings/targets manyratings.com/VDSI pic.twitter.com/pqdCuY20OL",Thu Sep 10 15:12:02 +0000 2015,false,false,192,0,,"1 years, 6 months",en,Profile Page,
stock_forums,Stock Forums,"FXY Currency Shares Japanese Yen Trust Filings
dlvr.it/C6pC1S

$FXY $VDSI $EWY $EC #FXY #finance #nasdaq",Fri Sep 11 04:40:10 +0000 2015,false,false,4383,536,Investors Hangout,http://t.co/JkfatuqVnK,en,Profile Page,
Stock_Tracker1,Stock_Tracker,"TLT iShares Barclays 20+ Year Treasury Bond Fund 52Wk High
dlvr.it/C6sRqd

$TLT $IDRA $VDSI $IDRA #TLT #finance #nasdaq",Fri Sep 11 07:45:34 +0000 2015,false,false,1482,496,,"1 years, 10 months",en,Profile Page,
PolgarStocks,PolgarStocks,"SUNE SunEdison, Inc. Volume
dlvr.it/C71RnG

$SUNE $UA $VDSI $BEAT #SUNE #stockmarket #stock",Fri Sep 11 12:45:04 +0000 2015,false,false,807,497,,"2 years, 2 days",en,Profile Page,
InvestWithConf,InvestWithConf,"$VDSI is rated BUY, 101.1% upside by Wall Street analysts based on average ratings/targets manyratings.com/VDSI pic.twitter.com/JZDYzOFJYD",Fri Sep 11 15:16:02 +0000 2015,false,false,192,0,,"1 years, 6 months",en,Profile Page,
