User,User Name,Tweet,Time,Following?,Follows?,Followers,Following,Location,Account Age,Website,Language,Profile Image
Nebul2,Ben Schwarz WolfPack,"@claudia_v_ consumer price expectation for 50-55"" #UHD TV is 1-3k€; sub: 10€/month. Pay TV viewers want linear, others want VoD #IBCShow",Sat Sep 12 09:18:54 +0000 2015,false,false,1299,583,"Paris, France",http://t.co/fJM4JX1H0X,en,Profile Page,
VodioComedy,Vodio Comedy,"Video: Thank You Notes: Rosh Hashanah, Apple Pencil  vod.io/3ZLWqD/ via app.vod.io",Sat Sep 12 09:22:06 +0000 2015,false,false,320,249,United States,http://t.co/YWQ1kMSvYN,en,Profile Page,
VodioNews,Vodio Breaking News,Video:   vod.io/3-7qic/ via app.vod.io,Sat Sep 12 09:22:07 +0000 2015,false,false,291,238,United States,http://t.co/xTCEil5Zpd,en,Profile Page,
VodioEnt,Entertainment News,"Video: Thank You Notes: Rosh Hashanah, Apple Pencil  vod.io/3ZLWqD/ via app.vod.io",Sat Sep 12 09:22:10 +0000 2015,false,false,1030,473,United States,http://t.co/Hm4CXeX4yf,en,Profile Page,
VodioTech,Vodio Tech News,Video:   vod.io/3-eiDP/ via app.vod.io,Sat Sep 12 09:22:11 +0000 2015,false,false,173,334,United States,http://t.co/7w1iqVHZ1T,en,Profile Page,
VodioMusic,Vodio Music,Video: Queen Studio Collection Film - Teaser 7  vod.io/3ZV~2K/ via app.vod.io,Sat Sep 12 09:22:13 +0000 2015,false,false,564,545,United States,http://t.co/7MGxlu2u5x,en,Profile Page,
VodioMovies,Vodio Movies,Video: Demolition: Jake Gyllenhaal Exclusive Interview  vod.io/3Yh_0T/ via app.vod.io,Sat Sep 12 09:22:16 +0000 2015,false,false,178,128,United States,http://t.co/CcpY88Hdof,en,Profile Page,
VodioSports,Vodio Sports News,Video: 9/11/15 MLB.com FastCast: O's ... vod.io/3-aiiZ/ via app.vod.io,Sat Sep 12 09:22:18 +0000 2015,false,false,159,192,United States,http://t.co/lt1jPDz9PV,en,Profile Page,
JR_Morrison92,JR Morrison,"@_alshy you queueing up at the bevy shop at 10am for a bottle of vod... 

Youll be in yer bed before the watershed tonight lol",Sat Sep 12 09:22:46 +0000 2015,false,false,344,498,,"2 years, 7 months",en,Profile Page,
gamechicken75,Greg Brown,RT @vudufans: Make tonight a movie night on #VUDU with these great 99 cent rentals from @ParamountMovies! ow.ly/S6UUw http://t.cpic.twitter.com/nlvlcoxIyl,Sat Sep 12 09:23:16 +0000 2015,false,false,5,41,,"4 years, 3 months",en,Profile Page,
VodioComedy,Vodio Comedy,Video: Cop VS Cop Prank !  vod.io/3YVN-8/ via app.vod.io,Sat Sep 12 09:24:06 +0000 2015,false,false,320,249,United States,http://t.co/YWQ1kMSvYN,en,Profile Page,
VodioNews,Vodio Breaking News,Video:   vod.io/3YCiI5/ via app.vod.io,Sat Sep 12 09:24:07 +0000 2015,false,false,291,238,United States,http://t.co/xTCEil5Zpd,en,Profile Page,
VodioEnt,Entertainment News,Video: Jonathan McReynolds talks abou... - @BlacktreeMedia vod.io/3Z03nk/ via app.vod.io,Sat Sep 12 09:24:10 +0000 2015,false,false,1030,473,United States,http://t.co/Hm4CXeX4yf,en,Profile Page,
VodioMovies,Vodio Movies,Video: The D-Train Official Trailer -... vod.io/3YEx4C/ via app.vod.io,Sat Sep 12 09:24:16 +0000 2015,false,false,178,128,United States,http://t.co/CcpY88Hdof,en,Profile Page,
London_FilmFest,London Lift-Off,"RT @SurvivorsMovie: Our UK DVD cover is pretty awesome no? Get it on OCTOBER 26TH DVD, VOD and MORE ow.ly/RYBrI #indiefilm #newrelease#horror",Sat Sep 12 09:25:28 +0000 2015,false,false,13532,6370,"London, UK",https://t.co/e0xohrWLII,en,Profile Page,
VodioNews,Vodio Breaking News,Video: Formula 1's Nico Rosberg: Why ... vod.io/3ZGgya/ via app.vod.io,Sat Sep 12 09:26:07 +0000 2015,false,false,291,238,United States,http://t.co/xTCEil5Zpd,en,Profile Page,
