User,User Name,Tweet,Time,Following?,Follows?,Followers,Following,Location,Account Age,Website,Language,Profile Image
Nora12King,Nora King,"Vz Verizon Communications Inc. Stock Price, Detailed Quote, … : thebingbing.com/fortune/853690 ,,,, pic.twitter.com/79SvhCvxzd",Thu Sep 10 03:14:41 +0000 2015,false,false,5343,5565,,"2 months, 3 weeks",en,Profile Page,
ProVesting,ProVesting,"$VZ $ACHN $QEP:

Active Stock’s News Report: Verizon Communications Inc (NYSE:VZ …:

StockNewsHour.com/vz-achn-qep-ac…",Thu Sep 10 10:45:03 +0000 2015,false,false,466,6,,"9 months, 3 weeks",en,Profile Page,
SocialLBSNews,Social LBS News,"Active Stock's News Report: Verizon Communications Inc (NYSE:VZ), Achillion ... snsanalytics.com/s4kHy8",Thu Sep 10 11:41:05 +0000 2015,false,false,2704,601,San Francisco,"5 years, 6 months",en,Profile Page,
JimPShepard,J.P. Shepard,Will Verizon Communications (VZ) Stock Be Lifted by Plan to Test 5G Wireless Technology? thestreet.com/story/13282701… via @TheStreet,Thu Sep 10 11:54:39 +0000 2015,false,false,72,49,Land of The Panama Hats,"4 years, 9 months",en,Profile Page,
Nora12King,Nora King,Vz Stock Quote Verizon Communications Inc. Stock Price … : thebingbing.com/fortune/852887 .,Thu Sep 10 12:34:14 +0000 2015,false,false,5343,5565,,"2 months, 3 weeks",en,Profile Page,
wallstreetscope,WallStreet Scope,"Morning Stock Alert: Gold Fields Ltd. (GFI), eBay Inc. (EBAY), Chevron Corporation (CVX), General Motors Company wallstreetscope.com/morning-stock-…",Thu Sep 10 13:50:13 +0000 2015,false,false,1586,26,,http://t.co/8pWHo5BlYU,en,Profile Page,
SmallCaps33,SmallCaps ,New to trading and need to build your trading account FAST? Try my new amazon ebook smq.tc/1L9EqyU $TWTR $VZ,Thu Sep 10 16:27:44 +0000 2015,false,false,184,38,,"11 months, 17 hours",en,Profile Page,
BINGBINGFORTUNE,BINGBING Fortune,Vz Stock Quote Verizon Communications Inc. Stock Price … : thebingbing.com/fortune/852887 ...,Thu Sep 10 16:55:37 +0000 2015,false,false,23412,20756,,http://t.co/oPiVZa0c5Z,en,Profile Page,
Makayla19Lewis,Makayla Lewis,"Vz Verizon Communications Inc. Stock Price, Detailed Quote, … : thebingbing.com/fortune/853690 ... pic.twitter.com/wlJpQSupYQ",Thu Sep 10 17:35:51 +0000 2015,false,false,7033,7517,Global,"2 years, 10 months",en,Profile Page,
stock_dofus,Dofus,"Hey Kelly @Kelly_Evans, its real simple, $VZ wants you to pay for the privilege of watching streaming advertisment pic.twitter.com/9900RLNHFX",Thu Sep 10 19:37:02 +0000 2015,false,false,7,2,,"7 months, 2 weeks",en,Profile Page,
Nora12King,Nora King,"Vz Stock Quote Verizon Communications Inc. Stock Price … : thebingbing.com/fortune/852887 ,",Thu Sep 10 21:20:36 +0000 2015,false,false,5343,5565,,"2 months, 3 weeks",en,Profile Page,
NewsToDesk,BreakingStocksNews,"$VZ:

Telecom Stock Roundup: Verizon Leads 5G Race, Trials Go90, T …:

StockNewsHour.com/vz-telecom-sto…",Thu Sep 10 21:22:02 +0000 2015,false,false,407,0,U.S.,"1 years, 6 months",en,Profile Page,
SarahMoore202,Sarah Moore,"Vz Verizon Communications Inc. Stock Price, Detailed Quote, … : thebingbing.com/fortune/853690 , pic.twitter.com/ikbRIeKdUs",Thu Sep 10 21:57:46 +0000 2015,false,false,4718,4855,,"2 months, 3 weeks",en,Profile Page,
SpecialBuyitNP,SpecialBuyitnowProdu,Original Metal Folding Stock + Screw - Vz.58 - Czechoslovakia - Used - 2 ift.tt/1EZVcCe pic.twitter.com/waGo51PJlI,Fri Sep 11 00:34:14 +0000 2015,false,false,126,36,,http://t.co/liPROPk3Of,en,Profile Page,
Mia_Thomson_GD,Mia Thomson,"Vz Stock Quote Verizon Communications Inc. Stock Price … : thebingbing.com/fortune/852887 ,,,",Fri Sep 11 01:21:15 +0000 2015,false,false,6301,6736,,"2 years, 10 months",en,Profile Page,
IHNewsDesk,IH News Desk,"XLY Consumer Discretionary Select Sector SPDR Day High
dlvr.it/C6lp2H

$XLY $CAR $VZ $RSP #XLY #pennystocks #stock",Fri Sep 11 01:52:04 +0000 2015,false,false,727,502,,"1 years, 9 months",en,Profile Page,
SarahMoore202,Sarah Moore,"Vz Verizon Communications Inc. Stock Price, Detailed Quote, … : thebingbing.com/fortune/853690 ,,, pic.twitter.com/l9hiQh3Ntt",Fri Sep 11 01:58:41 +0000 2015,false,false,4718,4855,,"2 months, 3 weeks",en,Profile Page,
SarahMoore202,Sarah Moore,"Vz Stock Quote Verizon Communications Inc. Stock Price … : thebingbing.com/fortune/852887 .,",Fri Sep 11 05:16:11 +0000 2015,false,false,4718,4855,,"2 months, 3 weeks",en,Profile Page,
Mia_Thomson_GD,Mia Thomson,"Vz Verizon Communications Inc. Stock Price, Detailed Quote, … : thebingbing.com/fortune/853690 ., pic.twitter.com/f2kSqzv07Q",Fri Sep 11 05:53:43 +0000 2015,false,false,6301,6736,,"2 years, 10 months",en,Profile Page,
Nora12King,Nora King,"Vz Stock Quote Verizon Communications Inc. Stock Price … : thebingbing.com/fortune/852887 .,,,",Fri Sep 11 09:27:54 +0000 2015,false,false,5343,5565,,"2 months, 3 weeks",en,Profile Page,
Nora12King,Nora King,"Vz Verizon Communications Inc. Stock Price, Detailed Quote, … : thebingbing.com/fortune/853690 .,,, pic.twitter.com/n0UPdCk0jd",Fri Sep 11 10:05:05 +0000 2015,false,false,5343,5565,,"2 months, 3 weeks",en,Profile Page,
rosnerstocks,Rosner Stocks,"CNW Con-Way Inc. Stock Forum
dlvr.it/C6y8DG

$CNW $AMBA $OIL $VZ #CNW #stock #share",Fri Sep 11 10:33:34 +0000 2015,false,false,963,144,Investors Hangout,http://t.co/PLaIJQnyya,en,Profile Page,
Trefis,Trefis.com,"Apple's iPhone Installment Plans: Good For Customers, Great For Apple tref.is/1K0mJ3A by Trefis Team $AAPL $T $VZ",Fri Sep 11 13:01:11 +0000 2015,false,false,2335,230,,http://t.co/cYTc6nBDVQ,en,Profile Page,
the_new_poverty,Ron Pugh,"Will Verizon (VZ) Stock React to Possible Video Streaming Expansion?: NEW YORK (TheStreet) -- Verizon 
  may e... bit.ly/1J2zo45",Fri Sep 11 13:18:00 +0000 2015,false,false,84,24,"Los Angeles, CA 90045",http://t.co/cMdbPSKVP6,en,Profile Page,
TraderDaily,Trader Daily,Will Verizon $VZ Stock React to Possible Video Streaming Expansion? dlvr.it/C72GMc,Fri Sep 11 13:18:33 +0000 2015,false,false,1996,1228,"New York, NY",http://t.co/xkMHpZC2GX,en,Profile Page,
StockAction,TheStreet SpeedDesk,Will Verizon $VZ Stock React to Possible Video Streaming Expansion? dlvr.it/C72Dln,Fri Sep 11 13:18:35 +0000 2015,false,false,2607,26,"New York, NY",http://t.co/XZWCvoCEnU,en,Profile Page,
24HOfNews,24HOfNews,"Will Verizon (VZ) Stock React to Possible Video Streaming Expansion? ift.tt/1FByzz5

NEW YORK (TheStreet) -- Verizon may expand i…",Fri Sep 11 13:23:47 +0000 2015,false,false,5537,9881,Financial News and Views,http://t.co/Cbb2kwd7,en,Profile Page,
WidwsNOrphns,Widows and Orphans,Will Verizon (VZ) Stock React to Possible Video Streaming Expansion? widowsandorphans.skyeyegroup.com/will-verizon-v… pic.twitter.com/qH5RZG0KTH,Fri Sep 11 13:24:41 +0000 2015,false,false,141,329,,http://t.co/zxNpDenaO9,en,Profile Page,
NewsToDesk,BreakingStocksNews,"$VZ:

Will Verizon (VZ) Stock React to Possible Video Streaming …:

StockNewsHour.com/vz-will-verizo…",Fri Sep 11 13:27:02 +0000 2015,false,false,407,0,U.S.,"1 years, 6 months",en,Profile Page,
avidinvestorgrp,Avid Investor Group,Will Verizon (VZ) Stock React to Possible Video Streaming Expansion? goo.gl/fb/buPdgU #market,Fri Sep 11 13:33:58 +0000 2015,false,false,304,2,California,http://t.co/18NAHO5rrI,en,Profile Page,
bizcomm123,Business Commerce,#TheStreet Updates Will Verizon (VZ) Stock React to Possible Video Streaming Expansion? ow.ly/33ZJOT,Fri Sep 11 13:46:20 +0000 2015,false,false,900,1197,"Atlanta,Ga",http://t.co/Ef9GL4A8VI,en,Profile Page,
Mia_Thomson_GD,Mia Thomson,Vz Stock Quote Verizon Communications Inc. Stock Price … : thebingbing.com/fortune/852887 .,Fri Sep 11 13:46:30 +0000 2015,false,false,6301,6736,,"2 years, 10 months",en,Profile Page,
Nora12King,Nora King,"Vz Verizon Communications Inc. Stock Price, Detailed Quote, … : thebingbing.com/fortune/853690 . pic.twitter.com/zPpO2yFtHY",Fri Sep 11 14:24:37 +0000 2015,false,false,5343,5565,,"2 months, 3 weeks",en,Profile Page,
vanja180700,vanja hadzic,Will Verizon (VZ) Stock React to Possible Video Streaming Expansion? - goo.gl/news/Kjhuu via news.google.com,Fri Sep 11 15:21:43 +0000 2015,false,false,617,2001,,"4 years, 10 months",en,Profile Page,
SmallCaps33,SmallCaps ,New to trading and need to build your trading account FAST? Try my new amazon ebook smq.tc/1L9EqyU $TWTR $VZ $KNDI,Fri Sep 11 15:27:00 +0000 2015,false,false,184,38,,"11 months, 17 hours",en,Profile Page,
jutiagroup,Jutia Group,Stock Update: Verizon Communications Inc (NYSE:VZ) – Verizon Go90 Takes Spotlight From FiOS… goo.gl/fb/KEd176,Fri Sep 11 17:40:18 +0000 2015,false,false,406,67,United States,http://t.co/dy9xlrWLTu,en,Profile Page,
Mia_Thomson_GD,Mia Thomson,Vz Stock Quote Verizon Communications Inc. Stock Price … : thebingbing.com/fortune/852887 ...,Fri Sep 11 18:29:43 +0000 2015,false,false,6301,6736,,"2 years, 10 months",en,Profile Page,
SmallCaps33,SmallCaps ,New to trading and need to build your trading account FAST? Try my new amazon ebook smq.tc/1L9EqyU $TWTR $VZ,Fri Sep 11 19:51:33 +0000 2015,false,false,184,38,,"11 months, 17 hours",en,Profile Page,
amigobulls,Amigobulls,$YHOO $GOOGL $BABA $VZ $CMCSA Yahoo could be more valuable as a digital media company. amigobulls.com/articles/broke…,Fri Sep 11 20:00:05 +0000 2015,false,false,231,101,,http://t.co/1Q6Q6ovKxL,en,Profile Page,
VZWSupport,VZW Support,"@TommyLentz Great question! You're in luck check we still have them in stock online. vz.to/1Mhc8Hd 
*ETD",Fri Sep 11 20:05:57 +0000 2015,false,false,149262,15848,,https://t.co/QahlHNUt4v,en,Profile Page,
