User,User Name,Tweet,Time,Following?,Follows?,Followers,Following,Location,Account Age,Website,Language,Profile Image
DTNItaly,DTN Italy,DTN Italy: US stock market shakes off an early loss and turns higher: NEW YORK (AP) — Major stock indexes shoo... yhoo.it/1gfUWn8,Fri Sep 11 19:47:39 +0000 2015,false,false,2025,82,Canada,"4 years, 5 months",en,Profile Page,
ParkerJThomas,Parker Thomas,PHLX Gold/Silver Sector (^XAU) stock rose by 1.42%! Currently priced at 45.08. yhoo.it/1IBABWo $GOLD #forex #binaryoptions,Fri Sep 11 19:47:44 +0000 2015,false,false,792,781,"Alexandria, VA",http://t.co/Ed2A5LSe5J,en,Profile Page,
StockConsultant,Dan Chapman,"$YHOO (Yahoo) stock breakdown watch, but also at support with a possible long trade bit.ly/1bDVN9r #stocks pic.twitter.com/4Nzy2u90GI",Fri Sep 11 19:53:38 +0000 2015,false,false,2341,1218,USA,http://t.co/c5ABYKWYD1,en,Profile Page,
scizoz,scizoz,#500aDay #1000aDay Heroin epidemic puts pressure on schools to get antidote yhoo.it/1OjxDXk,Fri Sep 11 19:56:28 +0000 2015,false,false,451,7,ON PC,"2 years, 1 months",en,Profile Page,
amigobulls,Amigobulls,$YHOO $GOOGL $BABA $VZ $CMCSA Yahoo could be more valuable as a digital media company. amigobulls.com/articles/broke…,Fri Sep 11 20:00:05 +0000 2015,false,false,231,101,,http://t.co/1Q6Q6ovKxL,en,Profile Page,
Sportsinfo,Sportsinfo,"Heroin epidemic puts pressure on schools to get antidote: PROVIDENCE, R.I. (AP) — The heroin epidemic that has... yhoo.it/1OHxtqQ",Fri Sep 11 20:02:08 +0000 2015,false,false,1475,867,,"6 years, 10 months",en,Profile Page,
mysonicbloom,Steve RC,News: Heroin epidemic puts pressure on schools to get antidote yhoo.it/1OHxtqQ,Fri Sep 11 20:02:13 +0000 2015,false,false,664,1306,,http://t.co/icZZmZazWF,en,Profile Page,
InquisitionNews,INQUISITION NEWS,"Heroin epidemic puts pressure on schools to get antidote: PROVIDENCE, R.I. (AP) — The heroin epidemic ... yhoo.it/1XUecbR (Yahoo)",Fri Sep 11 20:02:16 +0000 2015,false,false,9283,9266,"York, Pennsylvania USA",http://t.co/QQT3PKcjzJ,en,Profile Page,
livenewsalerts,Breaking News Live,"Heroin epidemic puts pressure on schools to get antidote: PROVIDENCE, R.I. (AP) — The heroin epidemic that has... yhoo.it/1UIkeNt",Fri Sep 11 20:05:23 +0000 2015,false,false,2128,2275,US - UK,"4 years, 10 months",en,Profile Page,
jkfling,Jackson Pilonetto,"Heroin epidemic puts pressure on schools to get antidote: PROVIDENCE, R.I. (AP) — The heroin epidemic that has... yhoo.it/1XUecbR",Fri Sep 11 20:05:27 +0000 2015,false,false,35407,60,Pato Branco,http://t.co/uHdXDdp4rP,es,Profile Page,
theflynews,The Fly,On The Fly: Top stock stories for Friday  $SLB $COP $YHOO $TWTR $AMD $MSFT $KR $ZUMZ $MFRM: Full Story bit.ly/1gfZKIW,Fri Sep 11 20:20:16 +0000 2015,false,false,10621,126,,http://t.co/453xIP53r9,en,Profile Page,
GoldMarket,LiveBullionPrices,Goldcorp (GG) Stock Closes Down as Gold Slides:  yhoo.it/1iD7y9E,Fri Sep 11 20:33:29 +0000 2015,false,false,25233,134,Global,http://t.co/I6K4HGgbrw,en,Profile Page,
DayTraderGuru,DayTraderGuru.com,Goldcorp (GG) Stock Closes Down as Gold Slides:  yhoo.it/1iD7zu3,Fri Sep 11 20:33:31 +0000 2015,false,false,6272,3878,Panama,http://t.co/M8yJTRsLME,en,Profile Page,
IHLive,Hospitality News,McDonald's All-Day Breakfast Has New Competition yhoo.it/1OHKfp7 #IHLive,Fri Sep 11 20:36:28 +0000 2015,false,false,1222,753,World Wide,http://t.co/5CsjhcrsC5,en,Profile Page,
IHLive,Hospitality News,Krispy Kreme stock falls after release of 2Q earnings yhoo.it/1OHKfpb #IHLive,Fri Sep 11 20:36:28 +0000 2015,false,false,1222,753,World Wide,http://t.co/5CsjhcrsC5,en,Profile Page,
DTNStockMarket,DTN Stock Market ,DTN Stock Market: Wall Street inches higher en route to a winning week: U.S. stocks edged higher late Friday a... yhoo.it/1OHLlBf,Fri Sep 11 20:39:12 +0000 2015,false,false,5171,80,Canada,http://t.co/9RDfA2fZJq,en,Profile Page,
mjunaidbabar,M Junaid Babar,"After a wobble, US stocks manage slight gains: NEW YORK (AP) — Major stock indexes shook off an early stumble ... yhoo.it/1OiBbsO",Fri Sep 11 20:56:54 +0000 2015,false,false,141,265,,"5 years, 10 months",en,Profile Page,
tambang,Tambang.Org,Whiting Petroleum (WLL) Stock Falls as Oil Prices Decline yhoo.it/1K1E6B3 #energy #oil #gas,Fri Sep 11 21:00:06 +0000 2015,false,false,1081,7,,"6 years, 8 months",en,Profile Page,
frontporchlight,Front Porch Light,"After a wobble, US stocks manage slight gains: NEW YORK (AP) — Major stock indexes shook off an early st... yhoo.it/1OiBd43 #news",Fri Sep 11 21:01:51 +0000 2015,false,false,3207,3455,,http://t.co/utMUwZxUAs,en,Profile Page,
airsrecruiter,Sanjay Bagai,Arista Stock Slumps on Concern Cisco Case May Block Product lnkd.in/bjvZykd,Fri Sep 11 21:06:11 +0000 2015,false,false,459,1052,Silicon Valley,http://t.co/WIPjnXB9V5,en,Profile Page,
